customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnRiskScore,RiskTier,RiskColor,CustomerSegments,CustomerPersona
0470-SLXEC,Male,No,No,No,16,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),105.76,1706.17,No,75,High,#FF007F,"High-Risk, Premium",High-Value Churn-Risk
4517-CEYHV,Male,No,No,Yes,6,Yes,No,Month-to-month,Credit card (automatic),23.36,141.06,No,40,Medium,#FFD700,"Budget, Short-Term",Promo-Sensitive Budget User
1370-TRKTH,Female,No,No,No,10,Yes,Fiber optic,Month-to-month,Electronic check,109.9,1090.15,No,100,High,#FF007F,"High-Risk, Premium, Short-Term",High-Value Churn-Risk
2675-VXWRN,Female,No,Yes,No,50,Yes,DSL,One year,Mailed check,61.08,3075.71,No,13,Low,#00F5D4,Loyal,Loyal Long-Term User
9042-ERIZF,Female,No,Yes,Yes,43,Yes,Fiber optic,Month-to-month,Credit card (automatic),86.31,3713.27,No,65,High,#FF007F,High-Risk,High-Value Churn-Risk
7758-SDOQH,Female,No,No,No,48,Yes,No,Two year,Credit card (automatic),20.54,977.51,No,0,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
9212-ITUSR,Male,No,No,No,57,Yes,No,One year,Credit card (automatic),24.33,1385.47,No,0,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
6049-JLDSQ,Female,Yes,No,No,38,Yes,No,Month-to-month,Electronic check,24.87,947.12,No,50,Medium,#FFD700,Budget,General Subscriber
4024-WYJKL,Female,No,Yes,No,3,Yes,No,Month-to-month,Credit card (automatic),22.65,67.84,No,50,Medium,#FFD700,"Budget, Short-Term",Promo-Sensitive Budget User
5459-TCBEF,Female,No,No,No,20,Yes,No,Month-to-month,Credit card (automatic),20.57,408.2,No,35,Medium,#FFD700,Budget,General Subscriber
9784-BHMTB,Female,No,Yes,No,56,Yes,Fiber optic,Two year,Credit card (automatic),89.39,5009.1,No,20,Low,#00F5D4,Loyal,Loyal Long-Term User
8516-XBNAO,Female,No,No,No,38,Yes,Fiber optic,One year,Credit card (automatic),89.3,3415.93,No,45,Medium,#FFD700,Standard,General Subscriber
1613-NSMQC,Male,No,No,No,44,Yes,DSL,Two year,Bank transfer (automatic),72.65,3187.08,No,18,Low,#00F5D4,Standard,General Subscriber
2312-IGFTE,Female,No,No,No,44,Yes,No,One year,Bank transfer (automatic),23.18,1027.35,No,5,Low,#00F5D4,Budget,General Subscriber
2717-OUJZI,Female,No,Yes,Yes,1,Yes,DSL,Month-to-month,Credit card (automatic),65.38,65.33,No,73,High,#FF007F,"High-Risk, Short-Term",General Subscriber
0793-KTPQE,Female,No,No,No,30,Yes,No,Month-to-month,Bank transfer (automatic),20.79,628.91,No,35,Medium,#FFD700,Budget,General Subscriber
5905-CKDRV,Male,No,Yes,Yes,30,No,No,One year,Mailed check,23.31,700.63,No,5,Low,#00F5D4,Budget,General Subscriber
1888-BVKYT,Female,No,Yes,Yes,72,Yes,Fiber optic,Two year,Bank transfer (automatic),86.09,6220.34,No,20,Low,#00F5D4,Loyal,Loyal Long-Term User
7947-HRHJZ,Male,No,Yes,Yes,72,Yes,Fiber optic,Two year,Credit card (automatic),97.57,7090.55,No,20,Low,#00F5D4,"Loyal, Premium",Loyal Long-Term User
9240-UPLRD,Female,No,Yes,Yes,51,No,DSL,Two year,Bank transfer (automatic),70.42,3622.34,No,3,Low,#00F5D4,Loyal,Loyal Long-Term User
8932-JNATL,Female,No,Yes,No,15,No,No,Month-to-month,Credit card (automatic),20.1,298.75,No,30,Medium,#FFD700,Budget,General Subscriber
5405-ZCLHX,Female,No,No,No,8,Yes,No,Month-to-month,Credit card (automatic),22.32,179.03,No,45,Medium,#FFD700,"Budget, Short-Term",Promo-Sensitive Budget User
1566-XOMKF,Male,No,No,No,46,Yes,No,Month-to-month,Mailed check,24.98,1150.13,No,30,Medium,#FFD700,Budget,General Subscriber
1544-OTWNF,Male,No,Yes,No,62,Yes,DSL,Two year,Credit card (automatic),51.88,3207.77,No,0,Low,#00F5D4,Loyal,Loyal Long-Term User
2029-VZOBE,Female,No,No,No,58,Yes,DSL,Two year,Bank transfer (automatic),64.35,3724.69,No,8,Low,#00F5D4,Loyal,Loyal Long-Term User
3102-PQMRD,Male,No,No,No,34,Yes,DSL,One year,Credit card (automatic),72.47,2488.48,No,33,Medium,#FFD700,Standard,General Subscriber
5518-RJJFW,Female,No,Yes,Yes,3,Yes,No,Month-to-month,Credit card (automatic),22.86,69.0,No,50,Medium,#FFD700,"Budget, Short-Term",Promo-Sensitive Budget User
9229-XTKSB,Female,Yes,No,No,56,Yes,No,Two year,Bank transfer (automatic),22.73,1272.45,No,0,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
3714-OHEDB,Male,No,No,No,53,Yes,Fiber optic,Two year,Mailed check,89.75,4756.58,No,25,Low,#00F5D4,Loyal,Loyal Long-Term User
7470-CMQOH,Female,No,Yes,Yes,13,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),88.35,1153.78,No,70,High,#FF007F,High-Risk,High-Value Churn-Risk
8680-BBEWK,Male,No,Yes,No,7,Yes,No,Month-to-month,Bank transfer (automatic),23.7,166.21,No,40,Medium,#FFD700,"Budget, Short-Term",Promo-Sensitive Budget User
8879-JPALK,Female,No,No,No,26,Yes,No,One year,Electronic check,22.89,596.13,No,25,Low,#00F5D4,Budget,General Subscriber
9623-BSWDG,Female,No,No,No,33,No,No,One year,Mailed check,23.64,780.41,No,10,Low,#00F5D4,Budget,General Subscriber
7584-JDSVR,Male,No,No,No,65,Yes,No,Two year,Credit card (automatic),20.4,1330.14,No,0,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
3384-RWIED,Female,No,Yes,No,10,Yes,DSL,Month-to-month,Mailed check,50.13,500.37,No,55,Medium,#FFD700,Short-Term,General Subscriber
9915-JOURQ,Male,No,Yes,No,3,Yes,DSL,Month-to-month,Bank transfer (automatic),50.35,151.93,No,65,High,#FF007F,"High-Risk, Short-Term",General Subscriber
3296-NQKCM,Female,No,Yes,Yes,49,Yes,Fiber optic,Two year,Bank transfer (automatic),108.85,5342.45,No,20,Low,#00F5D4,"Loyal, Premium",Loyal Long-Term User
4530-VDOJF,Male,No,No,No,51,Yes,DSL,One year,Credit card (automatic),61.95,3175.1,No,18,Low,#00F5D4,Loyal,Loyal Long-Term User
6878-ZVGYH,Female,No,No,Yes,23,Yes,No,One year,Mailed check,22.68,519.85,No,5,Low,#00F5D4,Budget,General Subscriber
0651-RBCPB,Male,No,Yes,No,63,Yes,Fiber optic,Two year,Credit card (automatic),96.21,6046.16,No,20,Low,#00F5D4,"Loyal, Premium",Loyal Long-Term User
1069-YAHGC,Female,No,No,No,37,Yes,DSL,One year,Bank transfer (automatic),53.5,1968.98,No,20,Low,#00F5D4,Standard,General Subscriber
5175-CRXGB,Male,No,Yes,No,38,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),90.22,3414.87,No,65,High,#FF007F,"High-Risk, Premium",High-Value Churn-Risk
3317-HWTWG,Male,No,No,No,16,Yes,No,Month-to-month,Credit card (automatic),24.41,387.42,No,35,Medium,#FFD700,Budget,General Subscriber
7535-KNBSH,Female,Yes,No,No,5,Yes,No,Month-to-month,Bank transfer (automatic),23.27,115.79,No,60,High,#FF007F,"High-Risk, Budget, Short-Term",Promo-Sensitive Budget User
7725-FEXRP,Female,No,Yes,No,46,Yes,DSL,Two year,Credit card (automatic),50.23,2304.72,No,5,Low,#00F5D4,Standard,General Subscriber
9845-IZMCL,Male,No,Yes,No,27,Yes,No,Month-to-month,Electronic check,23.8,641.38,No,45,Medium,#FFD700,Budget,General Subscriber
7002-CPNUZ,Male,No,Yes,No,66,Yes,DSL,Two year,Bank transfer (automatic),67.11,4464.63,No,3,Low,#00F5D4,Loyal,Loyal Long-Term User
0250-GSEYW,Male,No,No,No,14,Yes,Fiber optic,Month-to-month,Electronic check,90.8,1267.15,No,90,High,#FF007F,"High-Risk, Premium",High-Value Churn-Risk
9650-UIZOP,Female,No,No,No,43,Yes,DSL,One year,Electronic check,67.83,2903.15,No,43,Medium,#FFD700,Standard,General Subscriber
2655-DCAJO,Male,No,Yes,Yes,12,Yes,DSL,Month-to-month,Electronic check,52.24,628.1,No,60,High,#FF007F,"High-Risk, Short-Term",General Subscriber
6046-MYCXR,Female,No,Yes,No,6,Yes,DSL,Month-to-month,Credit card (automatic),60.87,363.76,No,63,High,#FF007F,"High-Risk, Short-Term",General Subscriber
5437-TTGOD,Female,No,No,No,47,Yes,No,One year,Mailed check,24.87,1164.22,No,5,Low,#00F5D4,Budget,General Subscriber
3752-MKJXW,Male,No,Yes,Yes,32,Yes,Fiber optic,Month-to-month,Electronic check,105.78,3406.55,No,85,High,#FF007F,"High-Risk, Premium",High-Value Churn-Risk
6724-HIVEW,Male,No,Yes,Yes,43,No,No,One year,Electronic check,22.09,955.39,No,15,Low,#00F5D4,Budget,General Subscriber
8911-YHVVL,Female,No,Yes,No,25,Yes,DSL,One year,Mailed check,56.47,1410.22,No,20,Low,#00F5D4,Standard,General Subscriber
9825-APDJN,Female,Yes,Yes,Yes,42,Yes,DSL,Month-to-month,Credit card (automatic),60.95,2550.63,No,53,Medium,#FFD700,Standard,General Subscriber
1051-VZFXH,Female,No,No,No,53,Yes,No,Two year,Credit card (automatic),23.29,1222.75,No,0,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
3796-MAWGG,Male,No,Yes,No,60,Yes,DSL,Two year,Credit card (automatic),56.56,3395.48,No,0,Low,#00F5D4,Loyal,Loyal Long-Term User
9696-SDLLO,Female,No,No,No,44,Yes,DSL,One year,Mailed check,54.58,2402.04,No,20,Low,#00F5D4,Standard,General Subscriber
2966-FPURW,Female,No,No,No,69,Yes,DSL,Month-to-month,Credit card (automatic),70.38,4847.39,No,43,Medium,#FFD700,Loyal,General Subscriber
7721-SAZYH,Male,Yes,Yes,No,12,Yes,No,Month-to-month,Electronic check,22.55,269.34,No,50,Medium,#FFD700,"Budget, Short-Term",Promo-Sensitive Budget User
3309-LRITR,Female,No,No,No,65,Yes,DSL,Month-to-month,Credit card (automatic),53.39,3499.42,No,35,Medium,#FFD700,Loyal,General Subscriber
2232-WKHYV,Male,No,No,No,1,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),97.89,98.27,No,95,High,#FF007F,"High-Risk, Premium, Short-Term",High-Value Churn-Risk
7759-AYXCX,Male,No,No,No,68,Yes,Fiber optic,Two year,Mailed check,93.44,6362.33,No,25,Low,#00F5D4,"Loyal, Premium",Loyal Long-Term User
5001-UZOAD,Female,No,Yes,No,2,Yes,No,Month-to-month,Mailed check,24.52,48.6,No,50,Medium,#FFD700,"Budget, Short-Term",Promo-Sensitive Budget User
3611-AGPCE,Female,No,No,Yes,38,Yes,Fiber optic,One year,Electronic check,87.23,3288.43,No,55,Medium,#FFD700,Standard,General Subscriber
4262-UVECQ,Female,No,Yes,Yes,42,Yes,No,One year,Mailed check,22.21,925.11,No,0,Low,#00F5D4,Budget,General Subscriber
1965-NKZEH,Male,No,Yes,No,48,Yes,No,One year,Mailed check,24.38,1170.66,No,0,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
4300-ZMQJU,Male,No,No,Yes,21,Yes,No,Month-to-month,Mailed check,24.6,516.98,No,30,Medium,#FFD700,Budget,General Subscriber
1463-BHCND,Male,No,Yes,Yes,44,Yes,No,One year,Credit card (automatic),20.06,890.64,No,0,Low,#00F5D4,Budget,General Subscriber
9493-OLSPY,Female,No,Yes,Yes,66,Yes,Fiber optic,Two year,Credit card (automatic),85.04,5651.82,No,20,Low,#00F5D4,Loyal,Loyal Long-Term User
1383-NPBEW,Male,Yes,Yes,No,29,No,DSL,Month-to-month,Mailed check,64.52,1876.21,No,58,Medium,#FFD700,Standard,General Subscriber
7561-RLYGO,Male,No,Yes,Yes,50,Yes,DSL,Two year,Bank transfer (automatic),70.9,3520.07,No,3,Low,#00F5D4,Loyal,Loyal Long-Term User
5680-VJIFA,Male,No,Yes,Yes,1,Yes,DSL,Month-to-month,Bank transfer (automatic),70.59,70.85,No,73,High,#FF007F,"High-Risk, Short-Term",General Subscriber
1994-CACGU,Male,No,Yes,No,57,Yes,DSL,Two year,Credit card (automatic),73.1,4193.51,No,3,Low,#00F5D4,Loyal,Loyal Long-Term User
0662-LGFII,Male,No,Yes,No,45,Yes,Fiber optic,One year,Bank transfer (automatic),86.52,3884.29,No,40,Medium,#FFD700,Standard,General Subscriber
8380-MZWLP,Male,No,No,No,7,Yes,Fiber optic,Month-to-month,Credit card (automatic),86.46,605.58,No,85,High,#FF007F,"High-Risk, Short-Term",High-Value Churn-Risk
3213-VHIRZ,Female,No,Yes,No,36,No,DSL,Two year,Bank transfer (automatic),54.4,1970.39,No,5,Low,#00F5D4,Standard,General Subscriber
2500-ESWEY,Female,No,No,No,2,Yes,DSL,Month-to-month,Credit card (automatic),68.31,137.42,No,78,High,#FF007F,"High-Risk, Short-Term",General Subscriber
5289-ZLHVS,Female,No,No,No,62,No,DSL,One year,Electronic check,65.99,4127.11,No,33,Medium,#FFD700,Loyal,General Subscriber
1355-FUCWV,Male,No,No,No,27,Yes,DSL,One year,Credit card (automatic),59.65,1625.66,No,25,Low,#00F5D4,Standard,General Subscriber
1069-RPEBL,Female,No,No,No,39,Yes,No,One year,Electronic check,21.46,836.5,No,20,Low,#00F5D4,Budget,General Subscriber
8693-RBMQN,Male,No,Yes,Yes,14,Yes,No,Month-to-month,Mailed check,24.91,346.09,No,30,Medium,#FFD700,Budget,General Subscriber
9986-DNEES,Female,No,Yes,No,50,Yes,Fiber optic,Two year,Bank transfer (automatic),85.94,4288.66,No,20,Low,#00F5D4,Loyal,Loyal Long-Term User
6065-WHBXP,Male,No,Yes,Yes,43,Yes,No,Two year,Mailed check,20.49,874.63,No,0,Low,#00F5D4,Budget,General Subscriber
7546-TUCGO,Female,No,No,No,40,Yes,No,One year,Electronic check,22.02,875.05,No,20,Low,#00F5D4,Budget,General Subscriber
3030-OBLWG,Male,No,No,No,34,Yes,Fiber optic,One year,Bank transfer (automatic),99.67,3378.22,No,50,Medium,#FFD700,Premium,General Subscriber
4140-MBFSY,Female,No,Yes,No,10,Yes,No,Month-to-month,Mailed check,20.04,200.99,No,40,Medium,#FFD700,"Budget, Short-Term",Promo-Sensitive Budget User
0349-ZJWWU,Male,No,No,No,4,Yes,No,Month-to-month,Electronic check,21.99,87.09,No,70,High,#FF007F,"High-Risk, Budget, Short-Term",Promo-Sensitive Budget User
5899-JJVDP,Female,No,No,No,48,Yes,Fiber optic,Two year,Mailed check,89.71,4340.5,No,25,Low,#00F5D4,Loyal,Loyal Long-Term User
9652-XAUPJ,Male,No,No,No,30,Yes,No,Month-to-month,Credit card (automatic),23.57,712.85,No,35,Medium,#FFD700,Budget,General Subscriber
8428-FJDPE,Male,No,Yes,No,62,Yes,Fiber optic,Two year,Bank transfer (automatic),95.51,5906.42,No,20,Low,#00F5D4,"Loyal, Premium",Loyal Long-Term User
3505-YQGAV,Female,No,Yes,Yes,57,Yes,Fiber optic,Two year,Electronic check,89.18,5062.74,No,35,Medium,#FFD700,Loyal,General Subscriber
8985-NVEKP,Male,No,Yes,No,58,Yes,DSL,Two year,Electronic check,55.28,3211.99,No,10,Low,#00F5D4,Loyal,Loyal Long-Term User
5064-YRTBT,Female,No,Yes,Yes,11,Yes,No,Month-to-month,Electronic check,20.77,227.56,No,55,Medium,#FFD700,"Budget, Short-Term",Promo-Sensitive Budget User
8499-WENDQ,Female,No,Yes,Yes,52,Yes,DSL,One year,Credit card (automatic),50.99,2673.24,No,5,Low,#00F5D4,Loyal,Loyal Long-Term User
1667-IMWPZ,Male,No,Yes,Yes,29,Yes,No,One year,Mailed check,23.39,679.82,No,5,Low,#00F5D4,Budget,General Subscriber
9027-PDNOB,Female,No,No,Yes,61,Yes,DSL,Two year,Bank transfer (automatic),74.45,4543.18,No,3,Low,#00F5D4,Loyal,Loyal Long-Term User
9163-PLVVU,Male,Yes,Yes,Yes,60,Yes,DSL,Two year,Credit card (automatic),51.87,3101.04,No,0,Low,#00F5D4,Loyal,Loyal Long-Term User
4083-RUMMH,Female,No,No,Yes,7,Yes,DSL,Month-to-month,Credit card (automatic),52.57,364.57,No,55,Medium,#FFD700,Short-Term,General Subscriber
1994-QRGUV,Male,No,No,No,67,Yes,No,Two year,Bank transfer (automatic),22.37,1505.26,No,0,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
3055-UZJRQ,Male,No,Yes,No,52,Yes,Fiber optic,Month-to-month,Mailed check,100.27,5174.49,No,55,Medium,#FFD700,"Loyal, Premium",General Subscriber
3735-DYNBU,Female,No,No,No,41,Yes,No,One year,Credit card (automatic),20.24,835.46,No,5,Low,#00F5D4,Budget,General Subscriber
9848-KWXRU,Female,No,No,No,42,No,DSL,Two year,Bank transfer (automatic),62.6,2640.26,No,18,Low,#00F5D4,Standard,General Subscriber
4397-HUWWU,Male,No,Yes,No,56,Yes,DSL,Two year,Electronic check,74.06,4137.17,No,18,Low,#00F5D4,Loyal,Loyal Long-Term User
8422-SIAKO,Female,Yes,No,No,70,Yes,No,Two year,Electronic check,22.75,1601.55,No,5,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
3281-ZQFNR,Male,Yes,Yes,No,35,No,No,One year,Electronic check,22.65,786.64,No,25,Low,#00F5D4,Budget,General Subscriber
9015-QDJZV,Male,No,No,No,10,Yes,No,Month-to-month,Credit card (automatic),21.1,212.25,No,45,Medium,#FFD700,"Budget, Short-Term",Promo-Sensitive Budget User
4245-ARRED,Female,Yes,No,No,49,Yes,Fiber optic,Two year,Mailed check,90.29,4394.21,No,30,Medium,#FFD700,"Loyal, Premium",General Subscriber
3577-KTVJW,Female,No,No,No,53,Yes,No,Two year,Credit card (automatic),23.7,1250.49,No,0,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
5777-LYJPR,Female,No,Yes,No,49,Yes,No,Two year,Electronic check,20.38,1006.45,No,0,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
3928-EOFFS,Female,No,No,No,6,Yes,No,Month-to-month,Bank transfer (automatic),24.54,146.91,No,45,Medium,#FFD700,"Budget, Short-Term",Promo-Sensitive Budget User
0388-VNETD,Female,No,Yes,No,25,Yes,DSL,Month-to-month,Credit card (automatic),72.42,1811.3,No,53,Medium,#FFD700,Standard,General Subscriber
0863-ZPZYM,Male,No,Yes,Yes,0,Yes,DSL,One year,Electronic check,72.75,0.0,No,63,High,#FF007F,"High-Risk, Short-Term",General Subscriber
8643-AWXZA,Female,No,No,No,35,Yes,No,One year,Bank transfer (automatic),22.93,808.25,No,10,Low,#00F5D4,Budget,General Subscriber
5946-YGNRZ,Male,No,No,No,8,Yes,No,Month-to-month,Mailed check,20.6,164.62,No,45,Medium,#FFD700,"Budget, Short-Term",Promo-Sensitive Budget User
2138-MZKZR,Female,Yes,Yes,No,59,Yes,Fiber optic,Two year,Electronic check,90.54,5353.51,No,40,Medium,#FFD700,"Loyal, Premium",General Subscriber
6984-WTBYF,Male,No,Yes,No,60,Yes,No,Two year,Mailed check,22.58,1357.92,No,0,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
5302-CIYML,Male,No,Yes,Yes,18,Yes,Fiber optic,One year,Bank transfer (automatic),93.69,1677.19,No,45,Medium,#FFD700,Premium,General Subscriber
7690-IFNQD,Female,No,No,No,70,Yes,Fiber optic,Two year,Mailed check,99.08,6971.31,No,25,Low,#00F5D4,"Loyal, Premium",Loyal Long-Term User
7790-PDICM,Female,No,Yes,No,8,Yes,Fiber optic,Month-to-month,Electronic check,91.21,728.21,No,95,High,#FF007F,"High-Risk, Premium, Short-Term",High-Value Churn-Risk
1790-YRBPL,Male,No,No,No,67,Yes,No,Two year,Credit card (automatic),20.64,1382.28,No,0,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
8562-ODWQO,Male,No,Yes,No,2,Yes,DSL,Month-to-month,Mailed check,63.71,126.83,No,73,High,#FF007F,"High-Risk, Short-Term",General Subscriber
5527-NGNWY,Male,No,No,No,2,Yes,DSL,Month-to-month,Mailed check,68.02,136.19,No,78,High,#FF007F,"High-Risk, Short-Term",General Subscriber
3227-ZAFNP,Female,No,No,No,17,Yes,No,Month-to-month,Mailed check,20.82,356.16,No,35,Medium,#FFD700,Budget,General Subscriber
1754-LLRRZ,Male,No,No,No,62,Yes,Fiber optic,Two year,Credit card (automatic),93.88,5852.54,No,25,Low,#00F5D4,"Loyal, Premium",Loyal Long-Term User
5987-NFFAE,Female,No,Yes,Yes,2,Yes,DSL,Month-to-month,Credit card (automatic),50.66,101.37,No,65,High,#FF007F,"High-Risk, Short-Term",General Subscriber
0774-AYNZJ,Female,No,No,No,58,Yes,No,Two year,Credit card (automatic),21.95,1265.99,No,0,Low,#00F5D4,"Loyal, Budget",Loyal Long-Term User
8021-JIEWO,Female,No,Yes,Yes,10,Yes,Fiber optic,Month-to-month,Electronic check,96.59,962.62,No,95,High,#FF007F,"High-Risk, Premium, Short-Term",High-Value Churn-Risk
2046-CRPFG,Male,No,Yes,Yes,44,Yes,No,Two year,Mailed check,24.97,1097.82,No,0,Low,#00F5D4,Budget,General Subscriber
