customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7278-PLKRY,Male,0,No,No,54,Yes,Fiber optic,Two year,Credit card (automatic),86.09,4667.94,No
6270-EQSKD,Male,1,No,Yes,72,Yes,Fiber optic,Month-to-month,Credit card (automatic),93.46,6749.29,No
8657-RBTCH,Male,0,Yes,Yes,22,Yes,No,Month-to-month,Electronic check,21.5,468.71,No
4556-EHQNS,Female,0,Yes,No,27,Yes,DSL,Month-to-month,Bank transfer (automatic),61.53,1659.97,No
7482-COLSJ,Male,0,No,No,9,Yes,No,Month-to-month,Bank transfer (automatic),21.79,198.04,Yes
6409-VYXBT,Male,0,No,No,4,Yes,No,Month-to-month,Mailed check,23.4,93.84,No
0470-SLXEC,Male,0,No,No,16,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),105.76,1706.17,No
4517-CEYHV,Male,0,No,Yes,6,Yes,No,Month-to-month,Credit card (automatic),23.36,141.06,No
1370-TRKTH,Female,0,No,No,10,Yes,Fiber optic,Month-to-month,Electronic check,109.9,1090.15,No
2675-VXWRN,Female,0,Yes,No,50,Yes,DSL,One year,Mailed check,61.08,3075.71,No
5850-MIGDO,Female,0,Yes,Yes,4,Yes,No,Month-to-month,Mailed check,21.08,84.03,Yes
9042-ERIZF,Female,0,Yes,Yes,43,Yes,Fiber optic,Month-to-month,Credit card (automatic),86.31,3713.27,No
7758-SDOQH,Female,0,No,No,48,Yes,No,Two year,Credit card (automatic),20.54,977.51,No
9212-ITUSR,Male,0,No,No,57,Yes,No,One year,Credit card (automatic),24.33,1385.47,No
5766-XDKNK,Male,0,Yes,No,11,Yes,DSL,Month-to-month,Bank transfer (automatic),63.91,705.4,Yes
6049-JLDSQ,Female,1,No,No,38,Yes,No,Month-to-month,Electronic check,24.87,947.12,No
4024-WYJKL,Female,0,Yes,No,3,Yes,No,Month-to-month,Credit card (automatic),22.65,67.84,No
5459-TCBEF,Female,0,No,No,20,Yes,No,Month-to-month,Credit card (automatic),20.57,408.2,No
9784-BHMTB,Female,0,Yes,No,56,Yes,Fiber optic,Two year,Credit card (automatic),89.39,5009.1,No
8516-XBNAO,Female,0,No,No,38,Yes,Fiber optic,One year,Credit card (automatic),89.3,3415.93,No
1613-NSMQC,Male,0,No,No,44,Yes,DSL,Two year,Bank transfer (automatic),72.65,3187.08,No
2312-IGFTE,Female,0,No,No,44,Yes,No,One year,Bank transfer (automatic),23.18,1027.35,No
2717-OUJZI,Female,0,Yes,Yes,1,Yes,DSL,Month-to-month,Credit card (automatic),65.38,65.33,No
0793-KTPQE,Female,0,No,No,30,Yes,No,Month-to-month,Bank transfer (automatic),20.79,628.91,No
5905-CKDRV,Male,0,Yes,Yes,30,No,No,One year,Mailed check,23.31,700.63,No
4865-EVWXV,Female,0,No,No,7,Yes,Fiber optic,Month-to-month,Mailed check,89.8,624.26,Yes
1888-BVKYT,Female,0,Yes,Yes,72,Yes,Fiber optic,Two year,Bank transfer (automatic),86.09,6220.34,No
7947-HRHJZ,Male,0,Yes,Yes,72,Yes,Fiber optic,Two year,Credit card (automatic),97.57,7090.55,No
9240-UPLRD,Female,0,Yes,Yes,51,No,DSL,Two year,Bank transfer (automatic),70.42,3622.34,No
6853-MCLHA,Male,0,No,No,6,Yes,DSL,Month-to-month,Credit card (automatic),68.97,413.39,Yes
1043-ERXTQ,Male,1,No,No,5,Yes,DSL,Month-to-month,Credit card (automatic),52.77,264.36,Yes
8932-JNATL,Female,0,Yes,No,15,No,No,Month-to-month,Credit card (automatic),20.1,298.75,No
5405-ZCLHX,Female,0,No,No,8,Yes,No,Month-to-month,Credit card (automatic),22.32,179.03,No
1704-GBZGB,Male,0,No,No,5,Yes,Fiber optic,Month-to-month,Electronic check,106.55,536.65,Yes
1566-XOMKF,Male,0,No,No,46,Yes,No,Month-to-month,Mailed check,24.98,1150.13,No
1544-OTWNF,Male,0,Yes,No,62,Yes,DSL,Two year,Credit card (automatic),51.88,3207.77,No
2029-VZOBE,Female,0,No,No,58,Yes,DSL,Two year,Bank transfer (automatic),64.35,3724.69,No
3102-PQMRD,Male,0,No,No,34,Yes,DSL,One year,Credit card (automatic),72.47,2488.48,No
5518-RJJFW,Female,0,Yes,Yes,3,Yes,No,Month-to-month,Credit card (automatic),22.86,69.0,No
9114-MWXPQ,Male,0,Yes,Yes,1,Yes,DSL,Month-to-month,Mailed check,71.95,72.34,Yes
8018-EJFFK,Female,0,No,No,22,Yes,Fiber optic,Month-to-month,Electronic check,100.36,2208.03,Yes
9229-XTKSB,Female,1,No,No,56,Yes,No,Two year,Bank transfer (automatic),22.73,1272.45,No
6471-WBFON,Male,0,No,No,31,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),88.27,2737.19,Yes
3714-OHEDB,Male,0,No,No,53,Yes,Fiber optic,Two year,Mailed check,89.75,4756.58,No
7470-CMQOH,Female,0,Yes,Yes,13,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),88.35,1153.78,No
5060-SRGLR,Male,1,No,No,2,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),98.95,198.91,Yes
8680-BBEWK,Male,0,Yes,No,7,Yes,No,Month-to-month,Bank transfer (automatic),23.7,166.21,No
8879-JPALK,Female,0,No,No,26,Yes,No,One year,Electronic check,22.89,596.13,No
9623-BSWDG,Female,0,No,No,33,No,No,One year,Mailed check,23.64,780.41,No
7865-FORKR,Male,0,No,No,5,Yes,Fiber optic,Month-to-month,Mailed check,104.28,523.38,Yes
7584-JDSVR,Male,0,No,No,65,Yes,No,Two year,Credit card (automatic),20.4,1330.14,No
3384-RWIED,Female,0,Yes,No,10,Yes,DSL,Month-to-month,Mailed check,50.13,500.37,No
7734-KJUBY,Female,0,Yes,No,54,Yes,No,One year,Bank transfer (automatic),24.81,1349.83,Yes
9915-JOURQ,Male,0,Yes,No,3,Yes,DSL,Month-to-month,Bank transfer (automatic),50.35,151.93,No
3296-NQKCM,Female,0,Yes,Yes,49,Yes,Fiber optic,Two year,Bank transfer (automatic),108.85,5342.45,No
4530-VDOJF,Male,0,No,No,51,Yes,DSL,One year,Credit card (automatic),61.95,3175.1,No
6878-ZVGYH,Female,0,No,Yes,23,Yes,No,One year,Mailed check,22.68,519.85,No
1397-CQOZB,Male,1,No,No,12,Yes,Fiber optic,Month-to-month,Electronic check,91.36,1101.71,Yes
0651-RBCPB,Male,0,Yes,No,63,Yes,Fiber optic,Two year,Credit card (automatic),96.21,6046.16,No
8251-FRMQE,Female,0,Yes,No,31,Yes,DSL,Month-to-month,Bank transfer (automatic),56.19,1729.88,Yes
1069-YAHGC,Female,0,No,No,37,Yes,DSL,One year,Bank transfer (automatic),53.5,1968.98,No
9599-YVKHJ,Female,0,Yes,Yes,17,Yes,DSL,Month-to-month,Credit card (automatic),65.65,1117.3,Yes
5685-WNNEJ,Male,0,No,No,12,Yes,Fiber optic,Month-to-month,Mailed check,98.93,1184.51,Yes
5175-CRXGB,Male,0,Yes,No,38,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),90.22,3414.87,No
3317-HWTWG,Male,0,No,No,16,Yes,No,Month-to-month,Credit card (automatic),24.41,387.42,No
7535-KNBSH,Female,1,No,No,5,Yes,No,Month-to-month,Bank transfer (automatic),23.27,115.79,No
7725-FEXRP,Female,0,Yes,No,46,Yes,DSL,Two year,Credit card (automatic),50.23,2304.72,No
9770-ARRNA,Female,0,No,No,14,Yes,DSL,Month-to-month,Electronic check,52.68,737.88,Yes
9845-IZMCL,Male,0,Yes,No,27,Yes,No,Month-to-month,Electronic check,23.8,641.38,No
7002-CPNUZ,Male,0,Yes,No,66,Yes,DSL,Two year,Bank transfer (automatic),67.11,4464.63,No
0250-GSEYW,Male,0,No,No,14,Yes,Fiber optic,Month-to-month,Electronic check,90.8,1267.15,No
9650-UIZOP,Female,0,No,No,43,Yes,DSL,One year,Electronic check,67.83,2903.15,No
2655-DCAJO,Male,0,Yes,Yes,12,Yes,DSL,Month-to-month,Electronic check,52.24,628.1,No
6046-MYCXR,Female,0,Yes,No,6,Yes,DSL,Month-to-month,Credit card (automatic),60.87,363.76,No
5437-TTGOD,Female,0,No,No,47,Yes,No,One year,Mailed check,24.87,1164.22,No
3752-MKJXW,Male,0,Yes,Yes,32,Yes,Fiber optic,Month-to-month,Electronic check,105.78,3406.55,No
6724-HIVEW,Male,0,Yes,Yes,43,No,No,One year,Electronic check,22.09,955.39,No
8911-YHVVL,Female,0,Yes,No,25,Yes,DSL,One year,Mailed check,56.47,1410.22,No
9825-APDJN,Female,1,Yes,Yes,42,Yes,DSL,Month-to-month,Credit card (automatic),60.95,2550.63,No
1051-VZFXH,Female,0,No,No,53,Yes,No,Two year,Credit card (automatic),23.29,1222.75,No
3796-MAWGG,Male,0,Yes,No,60,Yes,DSL,Two year,Credit card (automatic),56.56,3395.48,No
9696-SDLLO,Female,0,No,No,44,Yes,DSL,One year,Mailed check,54.58,2402.04,No
2966-FPURW,Female,0,No,No,69,Yes,DSL,Month-to-month,Credit card (automatic),70.38,4847.39,No
7721-SAZYH,Male,1,Yes,No,12,Yes,No,Month-to-month,Electronic check,22.55,269.34,No
5807-RGNDX,Female,0,Yes,Yes,5,Yes,Fiber optic,Month-to-month,Credit card (automatic),106.53,529.09,Yes
3309-LRITR,Female,0,No,No,65,Yes,DSL,Month-to-month,Credit card (automatic),53.39,3499.42,No
2232-WKHYV,Male,0,No,No,1,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),97.89,98.27,No
7759-AYXCX,Male,0,No,No,68,Yes,Fiber optic,Two year,Mailed check,93.44,6362.33,No
5001-UZOAD,Female,0,Yes,No,2,Yes,No,Month-to-month,Mailed check,24.52,48.6,No
3611-AGPCE,Female,0,No,Yes,38,Yes,Fiber optic,One year,Electronic check,87.23,3288.43,No
4262-UVECQ,Female,0,Yes,Yes,42,Yes,No,One year,Mailed check,22.21,925.11,No
1965-NKZEH,Male,0,Yes,No,48,Yes,No,One year,Mailed check,24.38,1170.66,No
6403-PMDHP,Female,0,Yes,No,61,Yes,Fiber optic,Two year,Electronic check,108.86,6576.27,Yes
4300-ZMQJU,Male,0,No,Yes,21,Yes,No,Month-to-month,Mailed check,24.6,516.98,No
1463-BHCND,Male,0,Yes,Yes,44,Yes,No,One year,Credit card (automatic),20.06,890.64,No
4252-XYIXD,Female,0,No,No,30,Yes,Fiber optic,Month-to-month,Electronic check,97.77,2933.08,Yes
5241-SVXDH,Female,1,Yes,Yes,9,No,DSL,Month-to-month,Credit card (automatic),63.82,571.22,Yes
5419-LDQVB,Female,0,Yes,No,12,Yes,Fiber optic,Month-to-month,Credit card (automatic),87.16,1035.63,Yes
9493-OLSPY,Female,0,Yes,Yes,66,Yes,Fiber optic,Two year,Credit card (automatic),85.04,5651.82,No
1383-NPBEW,Male,1,Yes,No,29,No,DSL,Month-to-month,Mailed check,64.52,1876.21,No
9906-VEHJI,Male,0,No,No,35,Yes,DSL,One year,Electronic check,53.4,1856.12,Yes
7561-RLYGO,Male,0,Yes,Yes,50,Yes,DSL,Two year,Bank transfer (automatic),70.9,3520.07,No
5680-VJIFA,Male,0,Yes,Yes,1,Yes,DSL,Month-to-month,Bank transfer (automatic),70.59,70.85,No
1994-CACGU,Male,0,Yes,No,57,Yes,DSL,Two year,Credit card (automatic),73.1,4193.51,No
0662-LGFII,Male,0,Yes,No,45,Yes,Fiber optic,One year,Bank transfer (automatic),86.52,3884.29,No
8380-MZWLP,Male,0,No,No,7,Yes,Fiber optic,Month-to-month,Credit card (automatic),86.46,605.58,No
3213-VHIRZ,Female,0,Yes,No,36,No,DSL,Two year,Bank transfer (automatic),54.4,1970.39,No
9059-SESGZ,Male,0,Yes,Yes,5,Yes,DSL,Month-to-month,Mailed check,58.29,293.24,Yes
2500-ESWEY,Female,0,No,No,2,Yes,DSL,Month-to-month,Credit card (automatic),68.31,137.42,No
5289-ZLHVS,Female,0,No,No,62,No,DSL,One year,Electronic check,65.99,4127.11,No
1355-FUCWV,Male,0,No,No,27,Yes,DSL,One year,Credit card (automatic),59.65,1625.66,No
7658-MDPZS,Female,0,Yes,No,1,Yes,Fiber optic,Month-to-month,Credit card (automatic),89.25,88.64,Yes
1599-PWANU,Female,0,No,No,4,Yes,No,Month-to-month,Bank transfer (automatic),24.63,98.84,Yes
1069-RPEBL,Female,0,No,No,39,Yes,No,One year,Electronic check,21.46,836.5,No
6774-CURMF,Male,0,No,No,11,Yes,No,Month-to-month,Electronic check,20.31,221.56,Yes
8693-RBMQN,Male,0,Yes,Yes,14,Yes,No,Month-to-month,Mailed check,24.91,346.09,No
2233-EBNCV,Male,0,Yes,No,1,Yes,Fiber optic,Month-to-month,Credit card (automatic),106.42,107.31,Yes
9986-DNEES,Female,0,Yes,No,50,Yes,Fiber optic,Two year,Bank transfer (automatic),85.94,4288.66,No
6065-WHBXP,Male,0,Yes,Yes,43,Yes,No,Two year,Mailed check,20.49,874.63,No
7546-TUCGO,Female,0,No,No,40,Yes,No,One year,Electronic check,22.02,875.05,No
3030-OBLWG,Male,0,No,No,34,Yes,Fiber optic,One year,Bank transfer (automatic),99.67,3378.22,No
4140-MBFSY,Female,0,Yes,No,10,Yes,No,Month-to-month,Mailed check,20.04,200.99,No
0349-ZJWWU,Male,0,No,No,4,Yes,No,Month-to-month,Electronic check,21.99,87.09,No
5899-JJVDP,Female,0,No,No,48,Yes,Fiber optic,Two year,Mailed check,89.71,4340.5,No
9652-XAUPJ,Male,0,No,No,30,Yes,No,Month-to-month,Credit card (automatic),23.57,712.85,No
8428-FJDPE,Male,0,Yes,No,62,Yes,Fiber optic,Two year,Bank transfer (automatic),95.51,5906.42,No
7170-USSTC,Male,0,Yes,No,4,Yes,Fiber optic,Month-to-month,Mailed check,88.58,356.3,Yes
2500-OIGYY,Female,0,Yes,Yes,45,Yes,Fiber optic,Two year,Credit card (automatic),95.73,4297.8,Yes
3505-YQGAV,Female,0,Yes,Yes,57,Yes,Fiber optic,Two year,Electronic check,89.18,5062.74,No
8985-NVEKP,Male,0,Yes,No,58,Yes,DSL,Two year,Electronic check,55.28,3211.99,No
5064-YRTBT,Female,0,Yes,Yes,11,Yes,No,Month-to-month,Electronic check,20.77,227.56,No
8499-WENDQ,Female,0,Yes,Yes,52,Yes,DSL,One year,Credit card (automatic),50.99,2673.24,No
7530-AVCDS,Male,1,Yes,No,32,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),109.72,3494.48,Yes
2045-ZVKNX,Female,1,Yes,Yes,24,Yes,No,Month-to-month,Electronic check,21.34,510.86,Yes
1667-IMWPZ,Male,0,Yes,Yes,29,Yes,No,One year,Mailed check,23.39,679.82,No
9027-PDNOB,Female,0,No,Yes,61,Yes,DSL,Two year,Bank transfer (automatic),74.45,4543.18,No
9163-PLVVU,Male,1,Yes,Yes,60,Yes,DSL,Two year,Credit card (automatic),51.87,3101.04,No
4083-RUMMH,Female,0,No,Yes,7,Yes,DSL,Month-to-month,Credit card (automatic),52.57,364.57,No
1994-QRGUV,Male,0,No,No,67,Yes,No,Two year,Bank transfer (automatic),22.37,1505.26,No
3055-UZJRQ,Male,0,Yes,No,52,Yes,Fiber optic,Month-to-month,Mailed check,100.27,5174.49,No
3735-DYNBU,Female,0,No,No,41,Yes,No,One year,Credit card (automatic),20.24,835.46,No
8292-XEDMV,Male,0,No,No,44,Yes,Fiber optic,One year,Credit card (automatic),109.26,4836.75,Yes
9848-KWXRU,Female,0,No,No,42,No,DSL,Two year,Bank transfer (automatic),62.6,2640.26,No
8799-VWNVX,Male,0,No,No,26,Yes,DSL,Month-to-month,Bank transfer (automatic),74.59,1925.63,Yes
4380-LODTV,Female,0,No,No,65,Yes,Fiber optic,Two year,Bank transfer (automatic),94.69,6212.19,Yes
4397-HUWWU,Male,0,Yes,No,56,Yes,DSL,Two year,Electronic check,74.06,4137.17,No
8422-SIAKO,Female,1,No,No,70,Yes,No,Two year,Electronic check,22.75,1601.55,No
3281-ZQFNR,Male,1,Yes,No,35,No,No,One year,Electronic check,22.65,786.64,No
3993-BVKMZ,Female,0,No,Yes,40,Yes,Fiber optic,Month-to-month,Mailed check,86.1,3431.62,Yes
1288-AUCGV,Female,0,No,No,54,Yes,Fiber optic,Month-to-month,Electronic check,101.16,5489.61,Yes
7501-CBFZI,Female,0,Yes,No,12,Yes,Fiber optic,Month-to-month,Electronic check,101.83,1225.42,Yes
9015-QDJZV,Male,0,No,No,10,Yes,No,Month-to-month,Credit card (automatic),21.1,212.25,No
4245-ARRED,Female,1,No,No,49,Yes,Fiber optic,Two year,Mailed check,90.29,4394.21,No
4312-VZSBY,Male,0,Yes,Yes,2,Yes,Fiber optic,Month-to-month,Mailed check,93.93,186.36,Yes
3577-KTVJW,Female,0,No,No,53,Yes,No,Two year,Credit card (automatic),23.7,1250.49,No
5777-LYJPR,Female,0,Yes,No,49,Yes,No,Two year,Electronic check,20.38,1006.45,No
0996-YSGBR,Male,0,No,No,9,Yes,Fiber optic,Month-to-month,Electronic check,88.35,793.51,Yes
3928-EOFFS,Female,0,No,No,6,Yes,No,Month-to-month,Bank transfer (automatic),24.54,146.91,No
0051-WQUIX,Male,0,Yes,Yes,19,Yes,Fiber optic,Month-to-month,Mailed check,94.41,1794.38,Yes
5779-AQEOF,Female,1,No,No,8,Yes,DSL,Month-to-month,Bank transfer (automatic),60.37,485.09,Yes
7739-FUNAH,Female,1,Yes,Yes,3,Yes,Fiber optic,Month-to-month,Electronic check,99.98,302.21,Yes
4137-TPPFH,Male,0,Yes,No,3,No,No,Month-to-month,Mailed check,22.95,68.68,Yes
0388-VNETD,Female,0,Yes,No,25,Yes,DSL,Month-to-month,Credit card (automatic),72.42,1811.3,No
0863-ZPZYM,Male,0,Yes,Yes,0,Yes,DSL,One year,Electronic check,72.75, ,No
8643-AWXZA,Female,0,No,No,35,Yes,No,One year,Bank transfer (automatic),22.93,808.25,No
5946-YGNRZ,Male,0,No,No,8,Yes,No,Month-to-month,Mailed check,20.6,164.62,No
2138-MZKZR,Female,1,Yes,No,59,Yes,Fiber optic,Two year,Electronic check,90.54,5353.51,No
6984-WTBYF,Male,0,Yes,No,60,Yes,No,Two year,Mailed check,22.58,1357.92,No
5302-CIYML,Male,0,Yes,Yes,18,Yes,Fiber optic,One year,Bank transfer (automatic),93.69,1677.19,No
7690-IFNQD,Female,0,No,No,70,Yes,Fiber optic,Two year,Mailed check,99.08,6971.31,No
7790-PDICM,Female,0,Yes,No,8,Yes,Fiber optic,Month-to-month,Electronic check,91.21,728.21,No
5182-PKLGS,Male,0,Yes,Yes,34,Yes,DSL,Month-to-month,Bank transfer (automatic),70.87,2393.0,Yes
1790-YRBPL,Male,0,No,No,67,Yes,No,Two year,Credit card (automatic),20.64,1382.28,No
8562-ODWQO,Male,0,Yes,No,2,Yes,DSL,Month-to-month,Mailed check,63.71,126.83,No
5527-NGNWY,Male,0,No,No,2,Yes,DSL,Month-to-month,Mailed check,68.02,136.19,No
3227-ZAFNP,Female,0,No,No,17,Yes,No,Month-to-month,Mailed check,20.82,356.16,No
1754-LLRRZ,Male,0,No,No,62,Yes,Fiber optic,Two year,Credit card (automatic),93.88,5852.54,No
1694-OUEFU,Male,0,No,No,3,Yes,Fiber optic,Month-to-month,Credit card (automatic),102.76,306.87,Yes
5987-NFFAE,Female,0,Yes,Yes,2,Yes,DSL,Month-to-month,Credit card (automatic),50.66,101.37,No
1492-CUMJH,Female,0,No,No,25,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),96.68,2419.35,Yes
8299-OUXUS,Male,0,No,No,7,Yes,DSL,Month-to-month,Mailed check,50.0,348.91,Yes
0774-AYNZJ,Female,0,No,No,58,Yes,No,Two year,Credit card (automatic),21.95,1265.99,No
3894-JUXRZ,Male,0,Yes,Yes,23,Yes,No,Month-to-month,Bank transfer (automatic),22.46,511.61,Yes
8021-JIEWO,Female,0,Yes,Yes,10,Yes,Fiber optic,Month-to-month,Electronic check,96.59,962.62,No
2046-CRPFG,Male,0,Yes,Yes,44,Yes,No,Two year,Mailed check,24.97,1097.82,No
8376-VJKFU,Female,0,Yes,Yes,47,Yes,No,One year,Electronic check,22.17,1035.06,No
1630-BSZWP,Female,0,Yes,Yes,27,No,No,Month-to-month,Bank transfer (automatic),20.3,549.68,No
1273-KRZUY,Male,0,No,No,9,Yes,DSL,Month-to-month,Credit card (automatic),62.13,559.83,No
7392-RLKXO,Male,0,Yes,Yes,6,Yes,DSL,Month-to-month,Credit card (automatic),69.4,418.35,No
9593-KXCVR,Male,0,No,No,6,Yes,DSL,Month-to-month,Electronic check,63.08,375.03,No
2031-PGDBS,Male,0,No,Yes,12,Yes,No,Month-to-month,Credit card (automatic),24.69,298.19,No
0948-BXCJC,Female,0,Yes,Yes,9,Yes,No,Month-to-month,Mailed check,23.13,208.41,No
1957-WVNDF,Female,0,No,No,20,No,No,Month-to-month,Bank transfer (automatic),24.96,502.64,No
6593-SRGMY,Male,0,No,No,32,Yes,No,Month-to-month,Bank transfer (automatic),20.68,655.23,No
3504-RQRSS,Female,1,No,No,9,Yes,Fiber optic,Month-to-month,Credit card (automatic),87.3,786.79,Yes
1572-PWWSD,Male,1,No,Yes,70,Yes,No,Month-to-month,Electronic check,24.25,1702.05,No
0480-KRSEK,Female,1,No,No,41,Yes,Fiber optic,One year,Bank transfer (automatic),88.7,3606.34,No
0864-CMQNY,Female,0,No,No,24,Yes,No,Month-to-month,Mailed check,22.62,538.23,No
5911-VNNLL,Female,0,Yes,No,8,Yes,No,Month-to-month,Electronic check,20.73,167.25,Yes
5211-XBHTE,Male,1,Yes,Yes,7,Yes,No,Month-to-month,Bank transfer (automatic),22.62,158.49,No
2069-VQBIF,Female,0,No,Yes,26,Yes,No,One year,Electronic check,21.8,561.35,No
6368-WDKPT,Female,0,No,No,33,Yes,DSL,One year,Bank transfer (automatic),58.67,1930.51,No
8404-MARIH,Female,0,No,No,9,Yes,No,Month-to-month,Credit card (automatic),23.43,209.77,Yes
4957-REGUE,Female,0,No,No,69,No,DSL,Two year,Mailed check,66.41,4565.56,No
1252-XAYKN,Male,0,No,No,20,Yes,DSL,Month-to-month,Bank transfer (automatic),67.18,1332.3,No
2897-WULFM,Male,0,Yes,Yes,6,Yes,DSL,Month-to-month,Electronic check,68.94,410.97,No
7975-OHNMY,Female,0,No,No,16,Yes,DSL,Month-to-month,Credit card (automatic),63.02,1007.45,No
3886-XBRMQ,Female,0,No,No,11,Yes,No,Month-to-month,Credit card (automatic),24.52,271.5,No
8129-WREMN,Male,0,Yes,Yes,51,Yes,No,Two year,Electronic check,23.98,1212.98,No
5186-XZQTF,Male,0,Yes,No,62,Yes,DSL,Two year,Electronic check,54.47,3371.71,No
7421-EGATY,Male,1,No,No,1,Yes,No,Month-to-month,Credit card (automatic),23.3,23.26,Yes
9038-ITURG,Female,0,Yes,No,10,Yes,No,Month-to-month,Mailed check,23.3,235.17,No
5014-KLMCY,Male,0,Yes,Yes,28,Yes,No,Month-to-month,Mailed check,21.05,590.72,Yes
8179-ZWJNT,Male,0,No,No,39,Yes,DSL,One year,Mailed check,72.09,2823.24,No
0107-UZDXG,Male,0,No,No,49,Yes,Fiber optic,Two year,Bank transfer (automatic),104.75,5112.25,No
