Order_ID,Customer_ID,Region_ID,State,City,Order_Date,Ship_Date,Ship_Mode
ORD-10088,CUST-1897,REG-02,Colorado,Denver,2024-09-16,2024-09-22,Standard Class
ORD-10089,CUST-1241,REG-02,Oregon,Portland,2025-10-14,2025-10-18,Standard Class
ORD-10090,CUST-2419,REG-02,Washington,Seattle,2025-07-10,2025-07-16,Standard Class
ORD-10091,CUST-1411,REG-04,Illinois,Chicago,2024-05-06,2024-05-08,First Class
ORD-10092,CUST-1510,REG-03,Virginia,Richmond,2025-02-18,2025-02-21,Second Class
ORD-10093,CUST-2185,REG-02,Oregon,Portland,2024-01-03,2024-01-10,Standard Class
ORD-10094,CUST-1968,REG-03,North Carolina,Charlotte,2024-09-21,2024-09-28,Standard Class
ORD-10095,CUST-1749,REG-04,Indiana,Indianapolis,2024-08-08,2024-08-10,Second Class
ORD-10096,CUST-2157,REG-02,California,Los Angeles,2024-03-12,2024-03-16,Second Class
ORD-10097,CUST-2587,REG-03,Texas,Houston,2025-02-17,2025-02-23,Standard Class
ORD-10098,CUST-2406,REG-01,Massachusetts,Boston,2024-05-01,2024-05-08,Standard Class
ORD-10099,CUST-2930,REG-04,Michigan,Detroit,2024-01-27,2024-02-01,Standard Class
ORD-10100,CUST-1216,REG-01,New York,New York,2024-02-20,2024-02-23,Second Class
ORD-10101,CUST-1203,REG-03,North Carolina,Charlotte,2025-06-06,2025-06-08,First Class
ORD-10102,CUST-2269,REG-01,New Jersey,Newark,2025-04-20,2025-04-24,Second Class
ORD-10103,CUST-1301,REG-01,Pennsylvania,Philadelphia,2024-08-22,2024-08-26,Second Class
ORD-10104,CUST-2175,REG-04,Michigan,Detroit,2025-01-31,2025-02-03,Second Class
ORD-10105,CUST-1615,REG-03,Virginia,Richmond,2025-05-25,2025-05-29,Second Class
ORD-10106,CUST-2243,REG-01,Pennsylvania,Philadelphia,2024-05-09,2024-05-16,Standard Class
ORD-10107,CUST-1317,REG-02,Washington,Seattle,2026-05-19,2026-05-19,Same Day
ORD-10108,CUST-2789,REG-02,Arizona,Phoenix,2024-06-24,2024-06-28,Second Class
ORD-10109,CUST-2571,REG-02,Arizona,Phoenix,2024-08-24,2024-08-29,Standard Class
ORD-10110,CUST-2652,REG-02,Arizona,Phoenix,2024-09-27,2024-10-01,Second Class
ORD-10111,CUST-1876,REG-04,Wisconsin,Milwaukee,2024-05-05,2024-05-09,Second Class
ORD-10112,CUST-2618,REG-02,Washington,Seattle,2025-06-01,2025-06-06,Standard Class
ORD-10113,CUST-1081,REG-04,Michigan,Detroit,2024-05-25,2024-05-27,Second Class
ORD-10114,CUST-1351,REG-04,Wisconsin,Milwaukee,2024-07-07,2024-07-08,First Class
ORD-10115,CUST-2640,REG-02,California,Los Angeles,2024-07-19,2024-07-25,Standard Class
ORD-10116,CUST-2540,REG-04,Illinois,Chicago,2025-06-29,2025-06-29,Same Day
ORD-10117,CUST-2837,REG-03,Georgia,Atlanta,2024-08-30,2024-09-03,Standard Class
ORD-10118,CUST-1392,REG-02,Oregon,Portland,2025-05-29,2025-06-02,Second Class
ORD-10119,CUST-2026,REG-04,Illinois,Chicago,2024-10-23,2024-10-25,Second Class
ORD-10120,CUST-1294,REG-02,Oregon,Portland,2026-05-31,2026-06-04,Standard Class
ORD-10121,CUST-1667,REG-03,Texas,Austin,2025-03-06,2025-03-10,Second Class
ORD-10122,CUST-2836,REG-02,Arizona,Phoenix,2024-10-16,2024-10-21,Standard Class
ORD-10123,CUST-2522,REG-04,Illinois,Chicago,2025-10-08,2025-10-13,Standard Class
ORD-10124,CUST-2214,REG-04,Wisconsin,Milwaukee,2024-06-10,2024-06-11,First Class
ORD-10125,CUST-2290,REG-01,Ohio,Cleveland,2026-05-10,2026-05-14,Standard Class
ORD-10126,CUST-1438,REG-03,Florida,Miami,2026-04-29,2026-05-06,Standard Class
ORD-10127,CUST-2033,REG-01,New Jersey,Newark,2025-06-13,2025-06-18,Standard Class
ORD-10128,CUST-1594,REG-03,Virginia,Richmond,2025-06-01,2025-06-04,Second Class
ORD-10129,CUST-2182,REG-01,Pennsylvania,Philadelphia,2024-03-29,2024-04-02,Standard Class
ORD-10130,CUST-1042,REG-03,Texas,Houston,2025-08-08,2025-08-12,Second Class
ORD-10131,CUST-1034,REG-03,Georgia,Atlanta,2025-05-02,2025-05-08,Standard Class
ORD-10132,CUST-2072,REG-03,Texas,Austin,2026-05-25,2026-05-26,First Class
ORD-10133,CUST-2168,REG-04,Michigan,Detroit,2024-05-18,2024-05-25,Standard Class
ORD-10134,CUST-1559,REG-03,Florida,Miami,2024-09-27,2024-10-01,Second Class
ORD-10135,CUST-2366,REG-03,Virginia,Richmond,2024-07-03,2024-07-05,First Class
ORD-10136,CUST-1056,REG-01,New Jersey,Newark,2026-05-03,2026-05-08,Standard Class
ORD-10137,CUST-2596,REG-03,Texas,Austin,2025-11-04,2025-11-05,First Class
ORD-10138,CUST-1870,REG-03,Georgia,Atlanta,2025-08-14,2025-08-18,Standard Class
ORD-10139,CUST-1157,REG-01,Pennsylvania,Philadelphia,2024-05-23,2024-05-24,First Class
ORD-10140,CUST-1421,REG-03,Georgia,Atlanta,2024-06-02,2024-06-04,Second Class
ORD-10141,CUST-1115,REG-04,Indiana,Indianapolis,2025-01-19,2025-01-20,First Class
ORD-10142,CUST-1504,REG-03,Virginia,Richmond,2024-10-27,2024-10-31,Second Class
ORD-10143,CUST-1435,REG-03,Florida,Miami,2024-02-22,2024-02-25,Second Class
ORD-10144,CUST-1124,REG-02,Washington,Seattle,2024-03-12,2024-03-16,Standard Class
ORD-10145,CUST-1220,REG-04,Minnesota,Minneapolis,2024-06-14,2024-06-21,Standard Class
ORD-10146,CUST-2142,REG-02,Washington,Seattle,2024-04-06,2024-04-06,Same Day
ORD-10147,CUST-2948,REG-03,North Carolina,Charlotte,2024-03-10,2024-03-14,Standard Class
ORD-10148,CUST-2631,REG-03,North Carolina,Charlotte,2024-06-09,2024-06-10,First Class
ORD-10149,CUST-2861,REG-02,California,Los Angeles,2024-03-17,2024-03-22,Standard Class
ORD-10150,CUST-2972,REG-04,Michigan,Detroit,2025-04-29,2025-04-29,Same Day
ORD-10151,CUST-2579,REG-03,Georgia,Atlanta,2026-04-22,2026-04-25,Second Class
ORD-10152,CUST-2182,REG-01,Pennsylvania,Philadelphia,2024-05-08,2024-05-13,Standard Class
ORD-10153,CUST-2392,REG-02,Colorado,Denver,2024-07-25,2024-07-29,Standard Class
ORD-10154,CUST-2243,REG-01,Pennsylvania,Philadelphia,2024-08-10,2024-08-17,Standard Class
ORD-10155,CUST-2461,REG-02,California,San Francisco,2025-04-28,2025-05-03,Standard Class
ORD-10156,CUST-1693,REG-04,Michigan,Detroit,2024-05-01,2024-05-01,Same Day
ORD-10157,CUST-2222,REG-04,Wisconsin,Milwaukee,2026-05-03,2026-05-05,Second Class
ORD-10158,CUST-2294,REG-01,Pennsylvania,Philadelphia,2024-08-10,2024-08-12,First Class
ORD-10159,CUST-1877,REG-01,New York,New York,2024-05-15,2024-05-21,Standard Class
ORD-10160,CUST-1057,REG-01,Ohio,Cleveland,2026-05-10,2026-05-16,Standard Class
ORD-10161,CUST-1536,REG-02,California,San Francisco,2024-02-13,2024-02-17,Second Class
ORD-10162,CUST-1743,REG-04,Wisconsin,Milwaukee,2025-10-13,2025-10-20,Standard Class
ORD-10163,CUST-2157,REG-02,California,Los Angeles,2024-12-21,2024-12-22,First Class
ORD-10164,CUST-2021,REG-02,Arizona,Phoenix,2025-03-08,2025-03-09,First Class
ORD-10165,CUST-2834,REG-04,Illinois,Chicago,2025-09-08,2025-09-15,Standard Class
ORD-10166,CUST-1327,REG-02,California,San Francisco,2024-04-15,2024-04-22,Standard Class
ORD-10167,CUST-2440,REG-01,Massachusetts,Boston,2024-04-04,2024-04-09,Standard Class
ORD-10168,CUST-1927,REG-03,North Carolina,Charlotte,2024-04-20,2024-04-25,Standard Class
ORD-10169,CUST-2499,REG-03,Georgia,Atlanta,2024-08-20,2024-08-26,Standard Class
ORD-10170,CUST-1014,REG-03,Virginia,Richmond,2026-05-03,2026-05-07,Standard Class
ORD-10171,CUST-2189,REG-01,Pennsylvania,Philadelphia,2025-08-23,2025-08-30,Standard Class
ORD-10172,CUST-2698,REG-01,Ohio,Cleveland,2024-10-11,2024-10-16,Standard Class
ORD-10173,CUST-2206,REG-02,Colorado,Denver,2025-04-02,2025-04-02,Same Day
ORD-10174,CUST-2917,REG-02,California,Los Angeles,2025-06-22,2025-06-28,Standard Class
ORD-10175,CUST-1731,REG-04,Wisconsin,Milwaukee,2024-05-26,2024-05-30,Standard Class
ORD-10176,CUST-1647,REG-01,Massachusetts,Boston,2024-10-11,2024-10-13,Second Class
ORD-10177,CUST-2440,REG-01,Massachusetts,Boston,2024-12-19,2024-12-26,Standard Class
ORD-10178,CUST-2102,REG-03,Georgia,Atlanta,2025-01-28,2025-02-02,Standard Class
ORD-10179,CUST-2227,REG-04,Minnesota,Minneapolis,2026-04-07,2026-04-11,Standard Class
ORD-10180,CUST-1127,REG-04,Wisconsin,Milwaukee,2024-02-24,2024-02-24,Same Day
ORD-10181,CUST-1517,REG-03,North Carolina,Charlotte,2024-10-07,2024-10-13,Standard Class
ORD-10182,CUST-2594,REG-03,Virginia,Richmond,2024-04-23,2024-04-23,Same Day
ORD-10183,CUST-1116,REG-01,Ohio,Cleveland,2024-12-26,2024-12-29,Second Class
ORD-10184,CUST-2360,REG-03,Texas,Austin,2024-02-23,2024-02-24,First Class
ORD-10185,CUST-2168,REG-04,Michigan,Detroit,2024-03-17,2024-03-19,First Class
ORD-10186,CUST-1090,REG-04,Michigan,Detroit,2026-04-25,2026-04-29,Second Class
ORD-10187,CUST-1659,REG-04,Illinois,Chicago,2024-10-25,2024-11-01,Standard Class
ORD-10188,CUST-1345,REG-04,Michigan,Detroit,2024-09-15,2024-09-17,First Class
ORD-10189,CUST-2659,REG-04,Wisconsin,Milwaukee,2024-06-07,2024-06-11,Standard Class
ORD-10190,CUST-1583,REG-03,Texas,Austin,2024-04-02,2024-04-02,Same Day
ORD-10191,CUST-1131,REG-01,Pennsylvania,Philadelphia,2025-02-05,2025-02-11,Standard Class
ORD-10192,CUST-2802,REG-02,Colorado,Denver,2024-06-18,2024-06-22,Second Class
ORD-10193,CUST-1490,REG-03,Texas,Houston,2025-01-01,2025-01-06,Standard Class
ORD-10194,CUST-1910,REG-03,North Carolina,Charlotte,2024-02-15,2024-02-21,Standard Class
ORD-10195,CUST-2902,REG-04,Indiana,Indianapolis,2024-03-19,2024-03-23,Standard Class
ORD-10196,CUST-1451,REG-04,Wisconsin,Milwaukee,2025-03-29,2025-04-03,Standard Class
ORD-10197,CUST-1529,REG-02,California,Los Angeles,2025-12-10,2025-12-14,Standard Class
ORD-10198,CUST-2789,REG-02,Arizona,Phoenix,2024-05-26,2024-05-27,First Class
ORD-10199,CUST-2441,REG-02,Oregon,Portland,2025-10-13,2025-10-15,First Class
ORD-10200,CUST-1504,REG-03,Virginia,Richmond,2026-01-10,2026-01-17,Standard Class
ORD-10201,CUST-1581,REG-02,Oregon,Portland,2024-08-04,2024-08-08,Standard Class
ORD-10202,CUST-1376,REG-01,Massachusetts,Boston,2025-09-15,2025-09-18,Second Class
ORD-10203,CUST-2131,REG-01,Ohio,Cleveland,2025-09-30,2025-10-04,Standard Class
ORD-10204,CUST-1809,REG-02,Colorado,Denver,2026-05-26,2026-05-31,Standard Class
ORD-10205,CUST-2855,REG-01,Massachusetts,Boston,2024-12-09,2024-12-13,Second Class
ORD-10206,CUST-2487,REG-02,Oregon,Portland,2024-08-17,2024-08-19,Second Class
ORD-10207,CUST-1308,REG-02,California,Los Angeles,2024-07-08,2024-07-13,Standard Class
ORD-10208,CUST-2432,REG-02,California,San Francisco,2024-09-09,2024-09-14,Standard Class
ORD-10209,CUST-1991,REG-04,Wisconsin,Milwaukee,2024-06-20,2024-06-26,Standard Class
ORD-10210,CUST-1060,REG-01,Pennsylvania,Philadelphia,2025-03-30,2025-04-04,Standard Class
ORD-10211,CUST-1668,REG-04,Illinois,Chicago,2026-02-06,2026-02-11,Standard Class
ORD-10212,CUST-1304,REG-01,Massachusetts,Boston,2025-09-05,2025-09-07,Second Class
ORD-10213,CUST-2346,REG-02,Arizona,Phoenix,2024-06-13,2024-06-14,First Class
ORD-10214,CUST-2421,REG-02,California,San Francisco,2025-10-03,2025-10-10,Standard Class
ORD-10215,CUST-2072,REG-03,Texas,Austin,2024-11-21,2024-11-23,First Class
ORD-10216,CUST-1754,REG-02,Arizona,Phoenix,2024-02-08,2024-02-10,Second Class
ORD-10217,CUST-2254,REG-01,Ohio,Cleveland,2025-03-17,2025-03-23,Standard Class
ORD-10218,CUST-1693,REG-04,Michigan,Detroit,2024-12-27,2025-01-03,Standard Class
ORD-10219,CUST-2132,REG-03,Georgia,Atlanta,2024-01-09,2024-01-10,First Class
ORD-10220,CUST-1600,REG-03,Texas,Austin,2024-09-29,2024-10-03,Standard Class
ORD-10221,CUST-1449,REG-04,Wisconsin,Milwaukee,2024-04-08,2024-04-13,Standard Class
ORD-10222,CUST-1657,REG-02,California,Los Angeles,2024-04-23,2024-04-30,Standard Class
ORD-10223,CUST-2845,REG-01,Massachusetts,Boston,2026-05-03,2026-05-07,Second Class
ORD-10224,CUST-1060,REG-01,Pennsylvania,Philadelphia,2024-11-08,2024-11-11,Second Class
ORD-10225,CUST-2569,REG-02,California,San Francisco,2024-10-31,2024-11-07,Standard Class
ORD-10226,CUST-1548,REG-03,North Carolina,Charlotte,2025-02-02,2025-02-02,Same Day
ORD-10227,CUST-1918,REG-01,New Jersey,Newark,2025-04-24,2025-04-28,Standard Class
ORD-10228,CUST-1364,REG-04,Illinois,Chicago,2024-09-30,2024-10-07,Standard Class
ORD-10229,CUST-2202,REG-03,Texas,Austin,2024-12-06,2024-12-10,Second Class
ORD-10230,CUST-1668,REG-04,Illinois,Chicago,2025-02-01,2025-02-02,First Class
ORD-10231,CUST-1710,REG-02,Colorado,Denver,2024-12-28,2025-01-01,Standard Class
ORD-10232,CUST-1884,REG-02,Colorado,Denver,2024-03-31,2024-04-01,First Class
ORD-10233,CUST-1785,REG-04,Illinois,Chicago,2024-05-30,2024-06-05,Standard Class
ORD-10234,CUST-1566,REG-04,Indiana,Indianapolis,2025-01-05,2025-01-09,Second Class
ORD-10235,CUST-1245,REG-01,Pennsylvania,Philadelphia,2024-07-04,2024-07-10,Standard Class
ORD-10236,CUST-1560,REG-03,Georgia,Atlanta,2024-10-05,2024-10-09,Standard Class
ORD-10237,CUST-1137,REG-01,Massachusetts,Boston,2026-04-05,2026-04-11,Standard Class
ORD-10238,CUST-1046,REG-02,California,San Francisco,2025-10-19,2025-10-24,Standard Class
ORD-10239,CUST-2284,REG-02,Washington,Seattle,2025-11-16,2025-11-21,Standard Class
ORD-10240,CUST-1153,REG-04,Minnesota,Minneapolis,2025-07-09,2025-07-11,Second Class
ORD-10241,CUST-2690,REG-01,Massachusetts,Boston,2024-06-25,2024-06-27,First Class
ORD-10242,CUST-1160,REG-01,New Jersey,Newark,2025-06-24,2025-06-27,Second Class
ORD-10243,CUST-1022,REG-01,New Jersey,Newark,2025-05-22,2025-05-27,Standard Class
ORD-10244,CUST-2044,REG-02,Oregon,Portland,2024-06-29,2024-06-29,Same Day
ORD-10245,CUST-2326,REG-03,Georgia,Atlanta,2025-10-26,2025-10-31,Standard Class
ORD-10246,CUST-2172,REG-04,Minnesota,Minneapolis,2025-02-12,2025-02-16,Standard Class
ORD-10247,CUST-2141,REG-02,Arizona,Phoenix,2025-01-07,2025-01-12,Standard Class
ORD-10248,CUST-1519,REG-03,Virginia,Richmond,2024-07-06,2024-07-13,Standard Class
ORD-10249,CUST-2172,REG-04,Minnesota,Minneapolis,2024-02-27,2024-02-29,First Class
ORD-10250,CUST-1077,REG-03,Texas,Houston,2025-05-04,2025-05-08,Second Class
ORD-10251,CUST-2360,REG-03,Texas,Austin,2026-04-17,2026-04-19,First Class
ORD-10252,CUST-1984,REG-04,Illinois,Chicago,2024-10-31,2024-11-07,Standard Class
ORD-10253,CUST-1879,REG-04,Michigan,Detroit,2024-01-07,2024-01-11,Standard Class
ORD-10254,CUST-1426,REG-02,Oregon,Portland,2024-06-05,2024-06-11,Standard Class
ORD-10255,CUST-1578,REG-02,California,Los Angeles,2024-01-19,2024-01-24,Standard Class
ORD-10256,CUST-1498,REG-01,Pennsylvania,Philadelphia,2025-04-22,2025-04-28,Standard Class
ORD-10257,CUST-2017,REG-03,Virginia,Richmond,2025-10-16,2025-10-18,First Class
ORD-10258,CUST-1540,REG-03,Florida,Miami,2025-10-18,2025-10-21,Second Class
ORD-10259,CUST-1183,REG-03,North Carolina,Charlotte,2026-05-07,2026-05-11,Standard Class
ORD-10260,CUST-1478,REG-03,Georgia,Atlanta,2025-07-22,2025-07-29,Standard Class
ORD-10261,CUST-2786,REG-01,New Jersey,Newark,2024-04-22,2024-04-26,Standard Class
ORD-10262,CUST-1593,REG-02,California,Los Angeles,2024-09-13,2024-09-17,Second Class
ORD-10263,CUST-2954,REG-03,Texas,Austin,2024-06-01,2024-06-04,Second Class
ORD-10264,CUST-1569,REG-01,New Jersey,Newark,2024-04-18,2024-04-23,Standard Class
ORD-10265,CUST-2954,REG-03,Texas,Austin,2024-08-29,2024-09-04,Standard Class
ORD-10266,CUST-1829,REG-01,New Jersey,Newark,2024-03-08,2024-03-12,Standard Class
ORD-10267,CUST-1038,REG-03,Texas,Houston,2024-03-17,2024-03-21,Standard Class
ORD-10268,CUST-1923,REG-01,Pennsylvania,Philadelphia,2025-10-26,2025-10-29,Second Class
ORD-10269,CUST-2218,REG-04,Minnesota,Minneapolis,2025-06-16,2025-06-16,Same Day
ORD-10270,CUST-1919,REG-03,North Carolina,Charlotte,2024-07-17,2024-07-21,Standard Class
ORD-10271,CUST-1646,REG-02,California,Los Angeles,2026-05-08,2026-05-09,First Class
ORD-10272,CUST-2210,REG-01,New York,New York,2025-04-16,2025-04-17,First Class
ORD-10273,CUST-2892,REG-04,Indiana,Indianapolis,2025-09-23,2025-09-30,Standard Class
ORD-10274,CUST-1521,REG-03,Georgia,Atlanta,2026-01-04,2026-01-08,Standard Class
ORD-10275,CUST-1642,REG-04,Indiana,Indianapolis,2024-01-04,2024-01-10,Standard Class
ORD-10276,CUST-1335,REG-02,Oregon,Portland,2024-06-21,2024-06-22,First Class
ORD-10277,CUST-1631,REG-01,Pennsylvania,Philadelphia,2024-11-07,2024-11-10,Second Class
ORD-10278,CUST-1956,REG-04,Minnesota,Minneapolis,2026-05-15,2026-05-19,Standard Class
ORD-10279,CUST-1886,REG-02,Arizona,Phoenix,2024-01-22,2024-01-26,Standard Class
ORD-10280,CUST-1674,REG-04,Indiana,Indianapolis,2025-04-01,2025-04-04,Second Class
ORD-10281,CUST-2811,REG-03,Georgia,Atlanta,2024-07-16,2024-07-20,Second Class
ORD-10282,CUST-2812,REG-01,New Jersey,Newark,2025-12-08,2025-12-09,First Class
ORD-10283,CUST-2297,REG-01,Ohio,Cleveland,2024-04-02,2024-04-02,Same Day
