Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Term_Months,Monthly_EMI,Branch_ID,Loan_Application_Date,Approval_Status
LOAN-10033,CUST-1449,Personal Loan,35000.0,15.0,24,1697.03,BR-03,2024-10-19,Rejected
LOAN-10034,CUST-1119,Home Loan,80000.0,8.5,180,787.79,BR-04,2023-07-02,Rejected
LOAN-10035,CUST-1809,Auto Loan,54000.0,7.5,36,1679.74,BR-03,2024-01-25,Approved
LOAN-10036,CUST-2132,Home Loan,407000.0,8.5,180,4007.89,BR-03,2023-01-11,Approved
LOAN-10037,CUST-1437,Auto Loan,33000.0,6.0,72,546.91,BR-05,2023-01-15,Approved
LOAN-10038,CUST-3163,Home Loan,122000.0,10.5,180,1348.59,BR-06,2023-01-24,Rejected
LOAN-10039,CUST-3249,Personal Loan,26000.0,11.5,60,571.81,BR-08,2023-06-26,Rejected
LOAN-10040,CUST-2805,Personal Loan,20000.0,10.5,24,927.52,BR-02,2024-07-16,Approved
LOAN-10041,CUST-3925,Personal Loan,32000.0,13.0,24,1521.34,BR-10,2023-03-12,Approved
LOAN-10042,CUST-3606,Auto Loan,44000.0,7.5,72,760.76,BR-05,2023-06-16,Rejected
LOAN-10043,CUST-1332,Business Loan,122000.0,8.5,60,2503.02,BR-01,2024-01-14,Rejected
LOAN-10044,CUST-1733,Personal Loan,27000.0,13.0,36,909.74,BR-01,2023-08-17,Rejected
LOAN-10045,CUST-3662,Personal Loan,20000.0,13.0,48,536.55,BR-07,2023-05-22,Rejected
LOAN-10046,CUST-2520,Personal Loan,7000.0,13.0,36,235.86,BR-10,2025-01-01,Approved
LOAN-10047,CUST-1770,Personal Loan,29000.0,15.0,48,807.09,BR-10,2023-03-22,Approved
LOAN-10048,CUST-2588,Home Loan,111000.0,8.5,360,853.49,BR-10,2023-05-28,Rejected
LOAN-10049,CUST-3905,Home Loan,234000.0,7.0,240,1814.2,BR-10,2023-12-19,Rejected
LOAN-10050,CUST-2844,Education Loan,44000.0,7.5,120,522.29,BR-02,2023-11-17,Approved
LOAN-10051,CUST-3706,Home Loan,194000.0,8.5,120,2405.32,BR-10,2023-12-03,Approved
LOAN-10052,CUST-3467,Personal Loan,14000.0,13.0,60,318.54,BR-01,2023-02-18,Rejected
LOAN-10053,CUST-3327,Home Loan,87000.0,7.0,180,781.98,BR-04,2023-07-26,Rejected
LOAN-10054,CUST-1460,Personal Loan,26000.0,15.0,60,618.54,BR-07,2023-05-17,Rejected
LOAN-10055,CUST-3509,Personal Loan,21000.0,11.5,24,983.65,BR-04,2024-02-13,Approved
LOAN-10056,CUST-2286,Auto Loan,32000.0,6.0,48,751.52,BR-04,2024-03-01,Approved
LOAN-10057,CUST-1037,Personal Loan,11000.0,11.5,24,515.24,BR-03,2023-03-15,Approved
LOAN-10058,CUST-2221,Personal Loan,22000.0,11.5,12,1949.53,BR-01,2023-01-03,Approved
LOAN-10059,CUST-2928,Auto Loan,58000.0,5.0,36,1738.31,BR-07,2023-10-22,Rejected
LOAN-10060,CUST-1144,Auto Loan,30000.0,5.0,48,690.88,BR-07,2023-01-05,Approved
LOAN-10061,CUST-3222,Home Loan,373000.0,7.0,120,4330.85,BR-03,2024-07-30,Approved
LOAN-10062,CUST-3584,Auto Loan,44000.0,6.0,36,1338.57,BR-05,2023-08-23,Approved
LOAN-10063,CUST-1252,Home Loan,218000.0,8.5,360,1676.23,BR-05,2023-11-18,Approved
LOAN-10064,CUST-2022,Education Loan,10000.0,9.0,84,160.89,BR-09,2023-07-28,Approved
LOAN-10065,CUST-1655,Education Loan,43000.0,13.5,60,989.42,BR-09,2023-04-06,Rejected
LOAN-10066,CUST-2015,Personal Loan,28000.0,13.0,36,943.43,BR-02,2023-10-18,Rejected
LOAN-10067,CUST-3623,Auto Loan,27000.0,9.5,72,493.42,BR-09,2023-11-03,Rejected
LOAN-10068,CUST-1676,Personal Loan,6000.0,13.0,24,285.25,BR-05,2023-04-04,Approved
LOAN-10069,CUST-3874,Personal Loan,34000.0,13.0,60,773.6,BR-02,2023-02-14,Approved
LOAN-10070,CUST-1432,Home Loan,234000.0,7.0,240,1814.2,BR-09,2024-06-20,Rejected
LOAN-10071,CUST-3210,Home Loan,242000.0,7.0,360,1610.03,BR-01,2024-01-11,Rejected
LOAN-10072,CUST-2100,Personal Loan,26000.0,13.0,60,591.58,BR-05,2023-08-31,Rejected
LOAN-10073,CUST-1808,Personal Loan,10000.0,13.0,12,893.17,BR-08,2023-01-29,Rejected
LOAN-10074,CUST-1772,Home Loan,448000.0,7.0,120,5201.66,BR-07,2023-08-19,Rejected
LOAN-10075,CUST-2373,Personal Loan,25000.0,11.5,36,824.4,BR-03,2023-02-28,Approved
LOAN-10076,CUST-2269,Personal Loan,19000.0,11.5,60,417.86,BR-07,2023-08-30,Approved
LOAN-10077,CUST-3168,Personal Loan,19000.0,13.0,48,509.72,BR-01,2023-02-27,Approved
LOAN-10078,CUST-1540,Auto Loan,45000.0,7.5,36,1399.78,BR-04,2023-07-15,Approved
LOAN-10079,CUST-3365,Auto Loan,30000.0,6.0,60,579.98,BR-04,2024-02-29,Approved
LOAN-10080,CUST-2318,Business Loan,90000.0,15.5,60,2164.79,BR-06,2023-09-12,Rejected
LOAN-10081,CUST-3292,Auto Loan,22000.0,5.0,72,354.31,BR-10,2024-02-09,Rejected
LOAN-10082,CUST-2292,Personal Loan,9000.0,11.5,24,421.56,BR-09,2023-07-31,Rejected
LOAN-10083,CUST-2897,Education Loan,25000.0,7.5,120,296.75,BR-10,2023-01-06,Approved
LOAN-10084,CUST-3796,Education Loan,21000.0,6.5,84,311.84,BR-02,2023-04-20,Approved
LOAN-10085,CUST-3710,Personal Loan,23000.0,10.5,48,588.88,BR-08,2024-04-11,Rejected
LOAN-10086,CUST-1312,Personal Loan,22000.0,11.5,60,483.84,BR-09,2023-12-13,Rejected
LOAN-10087,CUST-3261,Personal Loan,15000.0,11.5,24,702.6,BR-10,2025-03-21,Approved
LOAN-10088,CUST-3643,Personal Loan,17000.0,11.5,48,443.51,BR-08,2023-03-28,Approved
LOAN-10089,CUST-2028,Home Loan,264000.0,7.0,360,1756.4,BR-01,2023-12-27,Approved
LOAN-10090,CUST-1733,Personal Loan,22000.0,13.0,12,1964.98,BR-02,2023-08-04,Rejected
LOAN-10091,CUST-1677,Personal Loan,20000.0,13.0,12,1786.35,BR-06,2023-02-07,Approved
LOAN-10092,CUST-2250,Auto Loan,27000.0,5.0,72,434.83,BR-05,2023-01-18,Approved
LOAN-10093,CUST-1397,Personal Loan,11000.0,15.0,48,306.14,BR-03,2023-09-07,Approved
LOAN-10094,CUST-1126,Auto Loan,59000.0,5.0,36,1768.28,BR-10,2023-10-29,Approved
LOAN-10095,CUST-2382,Personal Loan,24000.0,10.5,60,515.85,BR-05,2023-11-25,Approved
LOAN-10096,CUST-3277,Home Loan,169000.0,13.0,360,1869.48,BR-09,2023-06-11,Rejected
LOAN-10097,CUST-1051,Business Loan,76000.0,11.0,60,1652.42,BR-10,2023-01-04,Approved
LOAN-10098,CUST-1948,Auto Loan,17000.0,6.0,72,281.74,BR-09,2024-01-06,Approved
LOAN-10099,CUST-3018,Auto Loan,34000.0,6.0,72,563.48,BR-07,2023-10-29,Approved
LOAN-10100,CUST-3359,Auto Loan,49000.0,12.0,60,1089.98,BR-10,2023-02-12,Rejected
LOAN-10101,CUST-1412,Personal Loan,24000.0,13.0,48,643.86,BR-10,2023-07-18,Approved
LOAN-10102,CUST-2347,Personal Loan,15000.0,17.5,48,436.72,BR-08,2024-02-24,Rejected
LOAN-10103,CUST-2219,Auto Loan,24000.0,6.0,72,397.75,BR-08,2023-02-06,Approved
LOAN-10104,CUST-1756,Personal Loan,16000.0,11.5,48,417.42,BR-03,2024-01-29,Approved
LOAN-10105,CUST-1809,Personal Loan,26000.0,13.0,48,697.51,BR-08,2024-05-15,Rejected
LOAN-10106,CUST-3008,Auto Loan,36000.0,6.0,36,1095.19,BR-03,2025-04-27,Approved
LOAN-10107,CUST-3343,Auto Loan,27000.0,5.0,72,434.83,BR-04,2023-10-31,Approved
LOAN-10108,CUST-2010,Education Loan,24000.0,7.5,84,368.12,BR-02,2023-12-25,Approved
LOAN-10109,CUST-3901,Personal Loan,27000.0,17.5,48,786.09,BR-10,2023-08-09,Rejected
LOAN-10110,CUST-3061,Personal Loan,23000.0,11.5,48,600.05,BR-06,2023-08-28,Rejected
LOAN-10111,CUST-2502,Home Loan,265000.0,10.5,180,2929.31,BR-06,2023-06-08,Approved
LOAN-10112,CUST-1229,Education Loan,31000.0,6.5,120,352.0,BR-09,2023-04-07,Approved
LOAN-10113,CUST-2316,Auto Loan,36000.0,5.0,72,579.78,BR-07,2023-11-22,Approved
LOAN-10114,CUST-2293,Auto Loan,43000.0,6.0,72,712.63,BR-04,2023-04-18,Approved
LOAN-10115,CUST-1327,Auto Loan,41000.0,5.0,72,660.3,BR-05,2023-12-28,Approved
LOAN-10116,CUST-3014,Home Loan,408000.0,6.0,240,2923.04,BR-09,2023-09-15,Approved
LOAN-10117,CUST-3173,Auto Loan,41000.0,12.0,48,1079.69,BR-08,2023-01-15,Rejected
LOAN-10118,CUST-1886,Personal Loan,35000.0,11.5,36,1154.16,BR-10,2023-02-27,Rejected
LOAN-10119,CUST-3810,Auto Loan,26000.0,5.0,36,779.24,BR-08,2023-08-07,Approved
LOAN-10120,CUST-2680,Auto Loan,58000.0,9.5,48,1457.14,BR-09,2023-01-11,Rejected
LOAN-10121,CUST-1033,Business Loan,33000.0,8.5,120,409.15,BR-10,2023-03-26,Approved
LOAN-10122,CUST-3620,Auto Loan,17000.0,9.5,72,310.67,BR-04,2023-04-08,Approved
LOAN-10123,CUST-3067,Education Loan,35000.0,9.0,120,443.37,BR-02,2023-11-19,Approved
LOAN-10124,CUST-2085,Business Loan,134000.0,9.5,120,1733.93,BR-09,2023-04-02,Approved
LOAN-10125,CUST-3908,Home Loan,191000.0,8.5,180,1880.85,BR-07,2023-09-01,Rejected
LOAN-10126,CUST-3960,Home Loan,309000.0,6.0,240,2213.77,BR-06,2023-09-29,Rejected
LOAN-10127,CUST-1834,Auto Loan,33000.0,6.0,48,775.01,BR-10,2024-02-21,Approved
LOAN-10128,CUST-1015,Education Loan,38000.0,6.5,120,431.48,BR-07,2023-06-30,Approved
LOAN-10129,CUST-1004,Personal Loan,7000.0,10.5,24,324.63,BR-01,2024-04-06,Rejected
LOAN-10130,CUST-2103,Home Loan,338000.0,6.0,180,2852.24,BR-03,2023-02-01,Approved
LOAN-10131,CUST-2964,Personal Loan,33000.0,13.0,48,885.31,BR-08,2023-05-22,Approved
LOAN-10132,CUST-2810,Personal Loan,20000.0,11.5,36,659.52,BR-10,2023-06-26,Approved
LOAN-10133,CUST-1375,Education Loan,33000.0,7.5,84,506.16,BR-07,2023-08-28,Approved
LOAN-10134,CUST-1941,Personal Loan,33000.0,11.5,60,725.76,BR-04,2023-03-31,Approved
LOAN-10135,CUST-1864,Personal Loan,32000.0,11.5,48,834.85,BR-07,2023-09-17,Approved
LOAN-10136,CUST-1633,Auto Loan,42000.0,7.5,72,726.18,BR-07,2023-01-29,Approved
LOAN-10137,CUST-3059,Home Loan,412000.0,8.5,180,4057.13,BR-01,2023-01-03,Rejected
LOAN-10138,CUST-3362,Education Loan,35000.0,11.0,84,599.29,BR-09,2023-03-22,Rejected
LOAN-10139,CUST-3324,Home Loan,120000.0,6.0,360,719.46,BR-01,2023-02-16,Approved
LOAN-10140,CUST-3035,Auto Loan,54000.0,6.0,60,1043.97,BR-09,2023-12-02,Approved
LOAN-10141,CUST-1505,Personal Loan,9000.0,10.5,12,793.34,BR-06,2023-03-14,Approved
LOAN-10142,CUST-3482,Personal Loan,15000.0,11.5,60,329.89,BR-02,2023-08-12,Approved
LOAN-10143,CUST-1004,Personal Loan,32000.0,10.5,48,819.31,BR-05,2023-01-05,Approved
LOAN-10144,CUST-3043,Personal Loan,16000.0,15.0,48,445.29,BR-02,2024-12-26,Rejected
LOAN-10145,CUST-3692,Business Loan,114000.0,11.0,36,3732.21,BR-06,2024-01-17,Rejected
LOAN-10146,CUST-3842,Auto Loan,55000.0,7.5,36,1710.84,BR-10,2025-02-16,Approved
LOAN-10147,CUST-3947,Education Loan,20000.0,9.0,84,321.78,BR-03,2023-09-15,Approved
LOAN-10148,CUST-1791,Auto Loan,18000.0,6.0,60,347.99,BR-09,2023-07-27,Approved
LOAN-10149,CUST-1708,Auto Loan,28000.0,12.0,48,737.35,BR-05,2023-02-24,Rejected
LOAN-10150,CUST-1114,Personal Loan,7000.0,15.0,60,166.53,BR-01,2023-05-20,Approved
LOAN-10151,CUST-1923,Business Loan,138000.0,11.0,48,3566.68,BR-05,2023-01-08,Rejected
LOAN-10152,CUST-2622,Education Loan,19000.0,6.5,84,282.14,BR-06,2023-04-14,Approved
LOAN-10153,CUST-1478,Personal Loan,19000.0,13.0,48,509.72,BR-02,2023-03-12,Rejected
LOAN-10154,CUST-1110,Home Loan,135000.0,7.0,120,1567.46,BR-09,2023-07-07,Approved
LOAN-10155,CUST-3559,Personal Loan,26000.0,10.5,24,1205.78,BR-01,2023-07-18,Approved
LOAN-10156,CUST-1912,Home Loan,423000.0,7.0,360,2814.23,BR-07,2023-02-09,Approved
LOAN-10157,CUST-1660,Education Loan,40000.0,9.0,84,643.56,BR-06,2023-01-09,Rejected
LOAN-10158,CUST-2750,Personal Loan,14000.0,11.5,48,365.25,BR-05,2024-11-20,Approved
LOAN-10159,CUST-3587,Education Loan,24000.0,6.5,84,356.39,BR-01,2023-02-20,Rejected
LOAN-10160,CUST-3412,Auto Loan,41000.0,9.5,36,1313.35,BR-07,2024-05-11,Rejected
LOAN-10161,CUST-1621,Auto Loan,57000.0,12.0,72,1114.36,BR-04,2024-03-18,Rejected
LOAN-10162,CUST-3189,Education Loan,17000.0,7.5,60,340.65,BR-02,2023-01-12,Approved
LOAN-10163,CUST-3015,Education Loan,38000.0,11.0,120,523.45,BR-07,2023-03-05,Rejected
LOAN-10164,CUST-3645,Home Loan,375000.0,7.0,240,2907.37,BR-03,2023-08-21,Approved
LOAN-10165,CUST-3434,Personal Loan,22000.0,11.5,12,1949.53,BR-08,2023-02-17,Approved
LOAN-10166,CUST-2794,Personal Loan,15000.0,13.0,60,341.3,BR-09,2023-01-01,Approved
LOAN-10167,CUST-1182,Auto Loan,47000.0,6.0,48,1103.8,BR-07,2023-02-02,Approved
LOAN-10168,CUST-3746,Auto Loan,18000.0,6.0,36,547.59,BR-08,2024-03-26,Approved
LOAN-10169,CUST-1348,Business Loan,99000.0,9.5,36,3171.26,BR-05,2023-02-06,Approved
LOAN-10170,CUST-1460,Personal Loan,24000.0,15.0,12,2166.2,BR-09,2024-08-09,Rejected
LOAN-10171,CUST-1404,Auto Loan,46000.0,6.0,60,889.31,BR-09,2023-08-11,Rejected
LOAN-10172,CUST-3965,Personal Loan,30000.0,11.5,36,989.28,BR-06,2023-09-20,Approved
LOAN-10173,CUST-2288,Auto Loan,34000.0,6.0,36,1034.35,BR-06,2024-01-22,Approved
LOAN-10174,CUST-1439,Auto Loan,56000.0,6.0,72,928.08,BR-07,2023-01-10,Approved
LOAN-10175,CUST-2797,Business Loan,53000.0,13.0,60,1205.91,BR-10,2023-02-17,Approved
LOAN-10176,CUST-1923,Auto Loan,44000.0,7.5,72,760.76,BR-05,2023-09-24,Rejected
LOAN-10177,CUST-2878,Auto Loan,43000.0,5.0,48,990.26,BR-04,2023-02-05,Approved
LOAN-10178,CUST-2597,Auto Loan,18000.0,7.5,72,311.22,BR-09,2023-01-18,Rejected
LOAN-10179,CUST-3363,Personal Loan,21000.0,13.0,12,1875.66,BR-10,2024-04-18,Rejected
LOAN-10180,CUST-2070,Auto Loan,21000.0,5.0,60,396.3,BR-05,2023-02-22,Approved
LOAN-10181,CUST-1853,Home Loan,92000.0,7.0,360,612.08,BR-08,2025-02-06,Approved
LOAN-10182,CUST-2762,Personal Loan,20000.0,11.5,48,521.78,BR-05,2025-04-11,Approved
LOAN-10183,CUST-3459,Personal Loan,8000.0,13.0,12,714.54,BR-08,2023-09-19,Approved
LOAN-10184,CUST-3419,Personal Loan,33000.0,11.5,12,2924.3,BR-02,2024-09-16,Approved
LOAN-10185,CUST-1675,Auto Loan,31000.0,5.0,36,929.1,BR-03,2023-03-03,Approved
LOAN-10186,CUST-2416,Home Loan,402000.0,7.0,360,2674.52,BR-02,2023-01-16,Approved
LOAN-10187,CUST-3209,Personal Loan,31000.0,11.5,48,808.76,BR-02,2023-03-26,Approved
LOAN-10188,CUST-1447,Auto Loan,27000.0,7.5,60,541.02,BR-04,2023-03-28,Approved
LOAN-10189,CUST-1018,Personal Loan,6000.0,11.5,60,131.96,BR-04,2024-06-04,Approved
LOAN-10190,CUST-1767,Education Loan,40000.0,7.5,60,801.52,BR-06,2023-10-05,Approved
LOAN-10191,CUST-3152,Home Loan,357000.0,6.0,240,2557.66,BR-02,2025-07-01,Approved
LOAN-10192,CUST-2963,Home Loan,301000.0,8.5,180,2964.07,BR-09,2023-12-26,Rejected
LOAN-10193,CUST-2644,Home Loan,379000.0,8.5,180,3732.16,BR-09,2023-10-12,Approved
LOAN-10194,CUST-3342,Education Loan,26000.0,9.0,84,418.32,BR-08,2024-09-29,Rejected
LOAN-10195,CUST-3150,Personal Loan,25000.0,15.0,24,1212.17,BR-03,2023-08-24,Rejected
LOAN-10196,CUST-3038,Home Loan,331000.0,7.0,240,2566.24,BR-02,2024-07-17,Rejected
LOAN-10197,CUST-3802,Home Loan,380000.0,8.5,360,2921.87,BR-02,2023-05-24,Rejected
LOAN-10198,CUST-2728,Personal Loan,6000.0,11.5,24,281.04,BR-01,2024-10-13,Rejected
LOAN-10199,CUST-2706,Personal Loan,6000.0,11.5,24,281.04,BR-02,2024-05-31,Approved
LOAN-10200,CUST-1578,Business Loan,104000.0,9.5,36,3331.43,BR-10,2024-01-05,Rejected
LOAN-10201,CUST-2276,Auto Loan,29000.0,6.0,48,681.07,BR-01,2023-10-26,Approved
LOAN-10202,CUST-1144,Home Loan,131000.0,6.0,240,938.52,BR-02,2023-02-09,Approved
LOAN-10203,CUST-2156,Education Loan,43000.0,6.5,84,638.53,BR-10,2023-09-23,Approved
LOAN-10204,CUST-3108,Home Loan,315000.0,8.5,360,2422.08,BR-03,2023-06-23,Rejected
LOAN-10205,CUST-3417,Home Loan,383000.0,7.0,120,4446.95,BR-07,2023-08-18,Approved
LOAN-10206,CUST-1681,Home Loan,445000.0,6.0,180,3755.16,BR-03,2023-08-03,Approved
LOAN-10207,CUST-3571,Personal Loan,33000.0,17.5,48,960.77,BR-08,2023-12-14,Rejected
LOAN-10208,CUST-3632,Personal Loan,26000.0,10.5,36,845.06,BR-09,2023-08-10,Rejected
LOAN-10209,CUST-3934,Personal Loan,16000.0,13.0,24,760.67,BR-10,2023-10-21,Approved
LOAN-10210,CUST-2706,Education Loan,27000.0,7.5,60,541.02,BR-08,2024-04-28,Rejected
LOAN-10211,CUST-3272,Auto Loan,27000.0,9.5,60,567.05,BR-01,2023-08-21,Rejected
LOAN-10212,CUST-2833,Education Loan,40000.0,6.5,84,593.98,BR-01,2023-04-07,Approved
LOAN-10213,CUST-1130,Personal Loan,14000.0,15.0,24,678.81,BR-08,2023-03-16,Rejected
LOAN-10214,CUST-1060,Education Loan,27000.0,9.0,120,342.02,BR-09,2023-09-12,Rejected
LOAN-10215,CUST-2476,Personal Loan,32000.0,11.5,48,834.85,BR-10,2023-07-02,Rejected
LOAN-10216,CUST-1590,Business Loan,36000.0,13.0,60,819.11,BR-07,2024-08-16,Approved
LOAN-10217,CUST-3710,Personal Loan,7000.0,10.5,60,150.46,BR-03,2023-04-07,Approved
LOAN-10218,CUST-3001,Home Loan,140000.0,7.0,360,931.42,BR-02,2023-10-07,Approved
LOAN-10219,CUST-3690,Auto Loan,42000.0,5.0,60,792.59,BR-02,2024-06-18,Approved
LOAN-10220,CUST-3599,Personal Loan,5000.0,10.5,60,107.47,BR-04,2023-08-15,Approved
LOAN-10221,CUST-2743,Education Loan,39000.0,9.0,84,627.47,BR-07,2023-03-01,Approved
LOAN-10222,CUST-2294,Education Loan,16000.0,9.0,120,202.68,BR-10,2023-10-27,Rejected
LOAN-10223,CUST-2775,Personal Loan,29000.0,15.0,60,689.91,BR-03,2023-07-09,Approved
LOAN-10224,CUST-1757,Auto Loan,42000.0,7.5,60,841.59,BR-06,2023-06-30,Approved
LOAN-10225,CUST-1286,Home Loan,188000.0,6.0,360,1127.15,BR-06,2023-01-11,Approved
LOAN-10226,CUST-3820,Personal Loan,17000.0,15.0,36,589.31,BR-07,2024-01-14,Rejected
LOAN-10227,CUST-3892,Personal Loan,20000.0,13.0,48,536.55,BR-06,2023-05-30,Approved
LOAN-10228,CUST-2119,Personal Loan,21000.0,10.5,36,682.55,BR-05,2023-07-25,Approved
LOAN-10229,CUST-3604,Home Loan,96000.0,7.0,120,1114.64,BR-03,2023-02-28,Rejected
LOAN-10230,CUST-3010,Home Loan,338000.0,10.5,120,4560.8,BR-05,2023-04-18,Rejected
LOAN-10231,CUST-1436,Auto Loan,19000.0,5.0,72,305.99,BR-04,2023-02-25,Approved
LOAN-10232,CUST-2191,Business Loan,121000.0,9.5,48,3039.9,BR-07,2025-04-26,Approved
LOAN-10233,CUST-2860,Education Loan,21000.0,7.5,120,249.27,BR-08,2023-12-30,Approved
LOAN-10234,CUST-3820,Home Loan,82000.0,10.5,360,750.09,BR-02,2023-07-25,Rejected
LOAN-10235,CUST-2080,Personal Loan,28000.0,13.0,48,751.17,BR-10,2025-01-31,Approved
LOAN-10236,CUST-1307,Home Loan,280000.0,6.0,180,2362.8,BR-04,2024-01-15,Rejected
LOAN-10237,CUST-1311,Home Loan,212000.0,8.5,240,1839.79,BR-06,2023-10-10,Approved
LOAN-10238,CUST-1891,Education Loan,16000.0,7.5,120,189.92,BR-10,2025-05-11,Approved
LOAN-10239,CUST-2870,Auto Loan,55000.0,9.5,72,1005.11,BR-03,2023-11-02,Rejected
LOAN-10240,CUST-1962,Personal Loan,14000.0,10.5,60,300.91,BR-07,2024-01-31,Rejected
LOAN-10241,CUST-3136,Auto Loan,24000.0,9.5,36,768.79,BR-10,2025-07-24,Rejected
LOAN-10242,CUST-3483,Auto Loan,49000.0,5.0,36,1468.57,BR-02,2023-02-08,Approved
LOAN-10243,CUST-3884,Home Loan,200000.0,7.0,240,1550.6,BR-02,2023-03-12,Approved
LOAN-10244,CUST-1972,Auto Loan,31000.0,5.0,36,929.1,BR-06,2023-03-16,Approved
LOAN-10245,CUST-1192,Auto Loan,32000.0,7.5,36,995.4,BR-02,2023-11-08,Approved
LOAN-10246,CUST-2145,Home Loan,225000.0,8.5,120,2789.68,BR-09,2023-01-14,Approved
LOAN-10247,CUST-2187,Home Loan,123000.0,10.5,360,1125.13,BR-03,2023-03-19,Rejected
LOAN-10248,CUST-1815,Home Loan,133000.0,8.5,180,1309.7,BR-04,2023-03-18,Approved
LOAN-10249,CUST-2401,Home Loan,132000.0,7.0,240,1023.39,BR-08,2023-01-09,Rejected
LOAN-10250,CUST-2876,Education Loan,8000.0,11.0,120,110.2,BR-09,2023-08-19,Approved
LOAN-10251,CUST-2823,Home Loan,383000.0,7.0,360,2548.11,BR-10,2023-09-11,Rejected
LOAN-10252,CUST-3288,Home Loan,222000.0,6.0,180,1873.36,BR-05,2023-08-17,Approved
LOAN-10253,CUST-1960,Auto Loan,46000.0,6.0,36,1399.41,BR-02,2024-08-10,Approved
LOAN-10254,CUST-3415,Personal Loan,32000.0,15.0,60,761.28,BR-09,2023-01-12,Rejected
LOAN-10255,CUST-1730,Education Loan,25000.0,11.0,120,344.38,BR-01,2024-08-24,Approved
LOAN-10256,CUST-1377,Home Loan,269000.0,6.0,240,1927.2,BR-03,2023-06-04,Approved
LOAN-10257,CUST-1979,Auto Loan,49000.0,7.5,60,981.86,BR-02,2024-01-14,Rejected
LOAN-10258,CUST-3450,Personal Loan,6000.0,13.0,24,285.25,BR-01,2023-03-05,Approved
LOAN-10259,CUST-2746,Home Loan,127000.0,7.0,360,844.93,BR-08,2023-07-10,Approved
